order_id,order_date,customer_id,partner_id,product_id,quantity,order_channel,priority,promised_sla_days,status,discount_pct,gross_amount,discount_amount,net_amount,cost_amount
O500021,2024-02-08,C100537,P1006,SKU2089,5,Web,Express,1,Delivered,0.227,14626.7,3320.26,11306.44,11255.1
O500022,2025-03-13,C100525,P1007,SKU2082,4,Mobile,Standard,7,Delivered,0.24,11089.36,2661.45,8427.91,9310.4
O500023,2025-11-18,C100618,P1014,SKU2019,4,Web,Standard,3,Delivered,0.142,13946.76,1980.44,11966.32,6103.64
O500024,2025-04-26,C100362,P1015,SKU2018,5,Marketplace,Express,4,Delivered,0.238,16912.1,4025.08,12887.02,10040.5
O500025,2025-11-15,C100053,P1006,SKU2058,3,B2B,Standard,4,Cancelled,0.211,2365.11,499.04,1866.07,582.54
O500026,2024-02-11,C100511,P1006,SKU2044,2,Mobile,Standard,5,Returned,0.217,9404.48,2040.77,7363.71,4851.88
O500027,2025-01-24,C100502,P1023,SKU2100,4,Marketplace,Standard,5,Delivered,0.217,12793.84,2776.26,10017.58,8787.4
O500028,2025-07-24,C100681,P1012,SKU2036,5,Marketplace,Standard,2,Delivered,0.097,14280.4,1385.2,12895.2,3402.8
O500029,2025-04-14,C100739,P1021,SKU2039,5,Web,Standard,2,Delivered,0.008,7016.9,56.14,6960.76,4561.15
O500030,2025-10-05,C100270,P1008,SKU2063,4,Web,Express,5,Delivered,0.041,8101.8,332.17,7769.63,2733.88
O500031,2024-12-04,C100764,P1007,SKU2023,4,Mobile,Standard,3,Delivered,0.019,13810.24,262.39,13547.85,4258.92
O500032,2025-05-13,C100007,P1007,SKU2103,1,B2B,Standard,5,In-Transit,0.061,3957.24,241.39,3715.85,952.44
O500033,2024-11-02,C100774,P1013,SKU2001,3,Marketplace,Standard,3,Delivered,0.014,10939.23,153.15,10786.08,2462.16
O500034,2025-09-29,C100109,P1019,SKU2101,2,Mobile,Standard,3,Delivered,0.069,3992.96,275.51,3717.45,768.7
O500035,2024-03-28,C100516,P1012,SKU2074,2,Web,Standard,2,Delivered,0.147,4064.3,597.45,3466.85,610.34
O500036,2024-07-04,C100546,P1007,SKU2106,5,Marketplace,Standard,7,Delivered,0.035,1414.3,49.5,1364.8,992.75
O500037,2024-03-11,C100506,P1024,SKU2035,2,Mobile,Standard,1,Delivered,0.079,7781.04,614.7,7166.34,2146.94
O500038,2025-05-28,C100792,P1014,SKU2108,5,B2B,Standard,3,Delivered,0.056,17772.15,995.24,16776.91,3368.25
O500039,2024-06-19,C100441,P1009,SKU2103,5,Marketplace,Express,4,Delivered,0.024,19786.2,474.87,19311.33,4762.2
O500040,2024-08-19,C100105,P1000,SKU2054,3,Web,Standard,3,Delivered,0.169,12440.22,2102.4,10337.82,6982.56
O500041,2025-09-03,C100486,P1014,SKU2034,1,Mobile,Standard,3,Delivered,0.223,2483.83,553.89,1929.94,1281.15
O500042,2024-09-20,C100232,P1015,SKU2023,4,Mobile,Express,2,Delivered,0.179,13810.24,2472.03,11338.21,4258.92
O500043,2024-04-16,C100489,P1023,SKU2018,5,Mobile,Standard,2,Delivered,0.171,16912.1,2891.97,14020.13,10040.5
O500044,2024-01-16,C100304,P1005,SKU2069,3,Mobile,Standard,7,Cancelled,0.246,3872.97,952.75,2920.22,2526.0
O500045,2024-06-14,C100033,P1004,SKU2115,1,Marketplace,Standard,3,Delivered,0.183,2666.14,487.9,2178.24,1358.07
O500046,2025-10-30,C100510,P1024,SKU2067,3,Marketplace,Standard,1,Delivered,0.012,8624.19,103.49,8520.7,6726.27
O500047,2025-02-05,C100071,P1013,SKU2115,5,Web,Standard,3,Delivered,0.055,13330.7,733.19,12597.51,6790.35
O500048,2025-12-28,C100262,P1000,SKU2090,3,Web,Standard,4,Delivered,0.159,3542.01,563.18,2978.83,2011.8
O500049,2024-06-06,C100495,P1002,SKU2082,3,Mobile,Standard,4,In-Transit,0.16,8317.02,1330.72,6986.3,6982.8
O500050,2024-09-13,C100704,P1011,SKU2086,3,Mobile,Standard,2,Delivered,0.208,5947.08,1236.99,4710.09,3475.5
O500051,2024-04-29,C100251,P1015,SKU2111,4,Mobile,Standard,3,Delivered,0.04,4966.76,198.67,4768.09,2766.6
O500052,2024-10-18,C100238,P1006,SKU2102,2,Mobile,Standard,4,Delivered,0.245,4085.18,1000.87,3084.31,1668.78
O500053,2025-02-15,C100241,P1009,SKU2019,4,Mobile,Express,7,Delivered,0.129,13946.76,1799.13,12147.63,6103.64
O500054,2025-08-13,C100460,P1018,SKU2070,5,Marketplace,Express,3,Delivered,0.23,19726.2,4537.03,15189.17,7448.55
O500055,2024-09-26,C100154,P1024,SKU2055,4,Web,Standard,2,Delivered,0.132,15921.76,2101.67,13820.09,1328.84
O500056,2025-07-17,C100421,P1012,SKU2105,5,Mobile,Standard,5,Delivered,0.047,16681.8,784.04,15897.76,3886.65
O500057,2025-04-02,C100640,P1010,SKU2024,4,Marketplace,Standard,3,Delivered,0.088,10486.88,922.85,9564.03,616.08
O500058,2024-08-01,C100064,P1009,SKU2098,5,Web,Standard,4,Delivered,0.055,18634.15,1024.88,17609.27,11885.7
O500059,2025-10-28,C100771,P1003,SKU2057,1,Web,Standard,2,Delivered,0.066,2956.54,195.13,2761.41,1816.55
O500060,2024-11-13,C100425,P1001,SKU2111,2,Mobile,Standard,5,Delivered,0.223,2483.38,553.79,1929.59,1383.3
O500061,2024-04-20,C100502,P1020,SKU2094,2,Web,Express,3,Delivered,0.094,4640.22,436.18,4204.04,3303.28
O500062,2025-12-04,C100493,P1000,SKU2041,5,Mobile,Standard,4,Delivered,0.046,14678.25,675.2,14003.05,5314.25
O500063,2025-10-29,C100756,P1020,SKU2101,2,B2B,Standard,3,Cancelled,0.091,3992.96,363.36,3629.6,768.7
O500064,2024-02-06,C100531,P1006,SKU2022,5,Web,Standard,3,In-Transit,0.154,4638.9,714.39,3924.51,3630.05
O500065,2025-10-21,C100707,P1017,SKU2000,4,B2B,Standard,2,Returned,0.05,8504.64,425.23,8079.41,5411.88
O500066,2025-11-23,C100228,P1023,SKU2060,1,Web,Express,5,Delivered,0.013,4018.57,52.24,3966.33,2048.96
O500067,2025-08-29,C100174,P1018,SKU2046,4,Mobile,Standard,3,Delivered,0.218,12375.88,2697.94,9677.94,9682.4
O500068,2024-07-05,C100514,P1018,SKU2015,2,Web,Standard,3,Delivered,0.06,5413.98,324.84,5089.14,3315.52
O500069,2025-04-06,C100122,P1006,SKU2119,2,Marketplace,Standard,2,Returned,0.234,9162.64,2144.06,7018.58,4834.4
O500070,2025-01-28,C100088,P1014,SKU2004,5,B2B,Standard,2,Cancelled,0.012,18266.25,219.2,18047.05,10592.35
O500071,2025-03-29,C100169,P1016,SKU2070,4,Web,Standard,3,Delivered,0.163,15780.96,2572.3,13208.66,5958.84
O500072,2025-03-26,C100216,P1010,SKU2031,4,B2B,Express,1,Delivered,0.166,14336.48,2379.86,11956.62,8958.68
O500073,2025-04-12,C100076,P1000,SKU2035,2,Marketplace,Express,4,Delivered,0.039,7781.04,303.46,7477.58,2146.94
O500074,2025-01-10,C100582,P1022,SKU2025,4,B2B,Standard,2,Delivered,0.166,7517.04,1247.83,6269.21,4592.52
O500075,2025-05-19,C100466,P1004,SKU2046,2,Mobile,Standard,4,In-Transit,0.097,6187.94,600.23,5587.71,4841.2
O500076,2025-01-19,C100160,P1024,SKU2080,4,Mobile,Standard,4,In-Transit,0.095,11135.48,1057.87,10077.61,1060.04
O500077,2024-01-13,C100226,P1023,SKU2038,2,B2B,Standard,3,Delivered,0.219,2571.8,563.22,2008.58,843.82
O500078,2024-01-26,C100743,P1000,SKU2086,4,Marketplace,Standard,2,Delivered,0.238,7929.44,1887.21,6042.23,4634.0
O500079,2025-12-01,C100730,P1018,SKU2053,4,Marketplace,Standard,5,Delivered,0.043,9699.28,417.07,9282.21,2781.8
O500080,2025-10-26,C100098,P1015,SKU2094,2,Web,Standard,7,Delivered,0.171,4640.22,793.48,3846.74,3303.28
O500081,2025-03-04,C100490,P1005,SKU2053,1,Web,Standard,4,Delivered,0.039,2424.82,94.57,2330.25,695.45
O500082,2024-05-07,C100258,P1020,SKU2043,1,Mobile,Express,4,Delivered,0.009,788.04,7.09,780.95,678.97
O500083,2025-07-25,C100287,P1002,SKU2060,5,Web,Express,2,Delivered,0.037,20092.85,743.44,19349.41,10244.8
O500084,2024-04-14,C100479,P1006,SKU2082,5,Mobile,Standard,3,Delivered,0.159,13861.7,2204.01,11657.69,11638.0
O500085,2024-10-02,C100787,P1023,SKU2055,4,Marketplace,Standard,2,Returned,0.182,15921.76,2897.76,13024.0,1328.84
O500086,2024-08-29,C100466,P1018,SKU2108,1,Mobile,Express,2,Delivered,0.127,3554.43,451.41,3103.02,673.65
O500087,2024-01-10,C100762,P1002,SKU2061,3,B2B,Standard,3,Delivered,0.238,2292.57,545.63,1746.94,646.32
O500088,2025-08-12,C100656,P1003,SKU2035,3,Mobile,Standard,2,Delivered,0.191,11671.56,2229.27,9442.29,3220.41
O500089,2025-01-07,C100622,P1006,SKU2003,2,Web,Standard,4,Delivered,0.04,4695.28,187.81,4507.47,3847.3
O500090,2024-08-19,C100632,P1001,SKU2047,2,Web,Standard,7,Delivered,0.052,7525.18,391.31,7133.87,4206.86
O500091,2025-01-05,C100633,P1004,SKU2006,4,B2B,Express,3,Delivered,0.149,15791.64,2352.95,13438.69,4456.64
O500092,2024-01-01,C100204,P1014,SKU2004,5,Mobile,Standard,2,Delivered,0.083,18266.25,1516.1,16750.15,10592.35
O500093,2024-11-15,C100781,P1000,SKU2044,5,B2B,Standard,2,Delivered,0.0,23511.2,0.0,23511.2,12129.7
O500094,2025-01-14,C100734,P1007,SKU2034,2,Web,Standard,3,Delivered,0.006,4967.66,29.81,4937.85,2562.3
O500095,2024-09-05,C100480,P1007,SKU2106,3,Web,Standard,3,Delivered,0.102,848.58,86.56,762.02,595.65
O500096,2025-08-30,C100568,P1024,SKU2087,3,Marketplace,Express,3,Delivered,0.131,8799.87,1152.78,7647.09,3208.8
O500097,2024-07-01,C100704,P1024,SKU2094,2,Mobile,Standard,7,In-Transit,0.163,4640.22,756.36,3883.86,3303.28
O500098,2024-04-10,C100122,P1021,SKU2065,3,Mobile,Express,7,Delivered,0.191,2042.4,390.1,1652.3,1022.28
O500099,2025-01-20,C100051,P1008,SKU2013,2,Mobile,Standard,4,Delivered,0.242,6868.64,1662.21,5206.43,3873.44
O500100,2025-10-10,C100796,P1013,SKU2102,1,Mobile,Express,2,In-Transit,0.21,2042.59,428.94,1613.65,834.39
O500101,2024-10-01,C100443,P1012,SKU2059,3,Marketplace,Express,2,In-Transit,0.089,7850.4,698.69,7151.71,4544.25
O500102,2024-02-04,C100577,P1021,SKU2051,2,Web,Express,3,Delivered,0.134,4774.04,639.72,4134.32,4109.32
O500103,2025-12-10,C100402,P1018,SKU2072,2,Web,Express,4,Delivered,0.054,3321.5,179.36,3142.14,2269.02
O500104,2024-11-20,C100413,P1022,SKU2019,4,Web,Standard,5,Delivered,0.242,13946.76,3375.12,10571.64,6103.64
O500105,2024-05-06,C100030,P1013,SKU2057,4,Mobile,Standard,4,Delivered,0.134,11826.16,1584.71,10241.45,7266.2
O500106,2025-03-26,C100231,P1022,SKU2072,1,Marketplace,Standard,5,Delivered,0.062,1660.75,102.97,1557.78,1134.51
O500107,2024-08-21,C100069,P1018,SKU2083,2,Mobile,Standard,2,Delivered,0.181,6382.94,1155.31,5227.63,4742.72
O500108,2025-11-16,C100345,P1018,SKU2060,1,B2B,Express,4,Delivered,0.122,4018.57,490.27,3528.3,2048.96
O500109,2024-08-02,C100017,P1016,SKU2119,5,Mobile,Standard,3,Delivered,0.249,22906.6,5703.74,17202.86,12086.0
O500110,2025-02-06,C100642,P1008,SKU2118,5,Mobile,Standard,4,Delivered,0.019,14380.15,273.22,14106.93,7447.1
O500111,2025-02-01,C100235,P1015,SKU2011,3,Mobile,Standard,1,Delivered,0.084,9077.88,762.54,8315.34,843.42
O500112,2024-06-26,C100592,P1008,SKU2009,5,Marketplace,Standard,4,Delivered,0.235,11415.4,2682.62,8732.78,4028.65
O500113,2024-12-30,C100042,P1016,SKU2061,4,Web,Standard,5,Delivered,0.115,3056.76,351.53,2705.23,861.76
O500114,2024-03-20,C100026,P1006,SKU2099,5,Mobile,Express,3,Delivered,0.078,13482.85,1051.66,12431.19,9419.3
O500115,2025-04-15,C100338,P1019,SKU2061,5,Mobile,Standard,5,Delivered,0.151,3820.95,576.96,3243.99,1077.2
O500116,2025-07-08,C100630,P1014,SKU2026,3,B2B,Standard,1,Cancelled,0.166,3806.13,631.82,3174.31,2099.31
O500117,2025-11-25,C100650,P1017,SKU2067,3,Web,Standard,4,Delivered,0.023,8624.19,198.36,8425.83,6726.27
O500118,2024-08-26,C100435,P1005,SKU2113,4,Web,Express,3,Delivered,0.065,6068.0,394.42,5673.58,4003.92
O500119,2024-07-27,C100491,P1019,SKU2020,1,Mobile,Standard,1,Delivered,0.077,4281.68,329.69,3951.99,2149.31
O500120,2025-02-05,C100551,P1020,SKU2053,2,Mobile,Express,4,Delivered,0.061,4849.64,295.83,4553.81,1390.9
O500121,2025-05-21,C100539,P1003,SKU2076,3,Web,Standard,2,Delivered,0.096,6113.13,586.86,5526.27,3496.83
O500122,2025-12-26,C100592,P1008,SKU2047,2,Mobile,Express,3,In-Transit,0.084,7525.18,632.12,6893.06,4206.86
O500123,2024-01-19,C100025,P1016,SKU2005,3,Mobile,Standard,2,Delivered,0.183,12540.99,2295.0,10245.99,6731.97
O500124,2024-06-23,C100343,P1021,SKU2080,5,Mobile,Standard,2,Delivered,0.15,13919.35,2087.9,11831.45,1325.05
O500125,2024-07-10,C100671,P1018,SKU2088,4,Mobile,Standard,2,Delivered,0.107,4836.8,517.54,4319.26,2062.44
O500126,2024-07-05,C100351,P1011,SKU2078,5,Web,Standard,4,Delivered,0.05,11155.5,557.78,10597.72,6159.1
O500127,2024-12-04,C100116,P1007,SKU2079,5,Marketplace,Express,2,Delivered,0.105,19197.55,2015.74,17181.81,11548.9
O500128,2025-09-30,C100532,P1022,SKU2078,2,Mobile,Standard,3,Delivered,0.045,4462.2,200.8,4261.4,2463.64
O500129,2024-01-23,C100242,P1021,SKU2039,4,Mobile,Standard,2,Delivered,0.238,5613.52,1336.02,4277.5,3648.92
O500130,2025-08-19,C100409,P1022,SKU2001,2,Mobile,Standard,2,Cancelled,0.043,7292.82,313.59,6979.23,1641.44
O500131,2025-03-27,C100413,P1007,SKU2118,5,Web,Standard,1,Delivered,0.215,14380.15,3091.73,11288.42,7447.1
O500132,2025-03-25,C100557,P1010,SKU2024,1,Marketplace,Standard,3,Cancelled,0.154,2621.72,403.74,2217.98,154.02
O500133,2025-05-10,C100743,P1006,SKU2099,2,Mobile,Standard,5,Cancelled,0.203,5393.14,1094.81,4298.33,3767.72
O500134,2024-03-25,C100554,P1023,SKU2064,5,Web,Standard,1,Delivered,0.222,18417.2,4088.62,14328.58,8370.8
O500135,2025-06-29,C100798,P1021,SKU2064,2,B2B,Standard,2,Delivered,0.201,7366.88,1480.74,5886.14,3348.32
O500136,2024-06-30,C100015,P1004,SKU2002,4,Marketplace,Standard,5,Delivered,0.147,12781.6,1878.9,10902.7,7784.6
O500137,2025-01-12,C100626,P1006,SKU2118,2,Marketplace,Standard,7,Cancelled,0.067,5752.06,385.39,5366.67,2978.84
O500138,2025-05-09,C100333,P1013,SKU2063,2,Mobile,Standard,7,Delivered,0.165,4050.9,668.4,3382.5,1366.94
O500139,2025-03-17,C100583,P1010,SKU2099,4,Mobile,Standard,4,Delivered,0.001,10786.28,10.79,10775.49,7535.44
O500140,2024-08-24,C100068,P1011,SKU2093,4,Mobile,Standard,1,Delivered,0.094,1714.4,161.15,1553.25,579.76
O500141,2024-10-16,C100422,P1009,SKU2016,2,Web,Standard,2,Delivered,0.214,4961.52,1061.77,3899.75,267.48
O500142,2024-12-14,C100023,P1016,SKU2113,5,Mobile,Express,2,Cancelled,0.145,7585.0,1099.82,6485.18,5004.9
O500143,2024-01-31,C100532,P1022,SKU2070,1,Marketplace,Standard,3,Delivered,0.065,3945.24,256.44,3688.8,1489.71
O500144,2025-06-14,C100173,P1022,SKU2022,1,Mobile,Standard,3,In-Transit,0.223,927.78,206.89,720.89,726.01
O500145,2024-03-14,C100115,P1011,SKU2069,5,Marketplace,Standard,2,Delivered,0.004,6454.95,25.82,6429.13,4210.0
O500146,2024-12-01,C100063,P1020,SKU2073,1,Mobile,Express,2,Returned,0.221,2328.67,514.64,1814.03,432.91
O500147,2025-04-23,C100215,P1017,SKU2078,2,Mobile,Standard,7,Delivered,0.19,4462.2,847.82,3614.38,2463.64
O500148,2024-02-28,C100767,P1004,SKU2038,1,Mobile,Express,2,Delivered,0.037,1285.9,47.58,1238.32,421.91
O500149,2025-12-28,C100787,P1019,SKU2112,2,Marketplace,Standard,1,Delivered,0.016,5780.88,92.49,5688.39,3172.06
O500150,2024-10-02,C100064,P1008,SKU2028,1,Web,Standard,1,Delivered,0.238,2838.81,675.64,2163.17,1091.5
O500151,2024-01-12,C100783,P1015,SKU2059,2,Mobile,Standard,3,Delivered,0.017,5233.6,88.97,5144.63,3029.5
O500152,2025-04-26,C100470,P1018,SKU2100,2,Marketplace,Standard,2,Delivered,0.243,6396.92,1554.45,4842.47,4393.7
O500153,2025-02-11,C100258,P1023,SKU2009,1,Mobile,Standard,3,Cancelled,0.105,2283.08,239.72,2043.36,805.73
O500154,2025-04-13,C100753,P1023,SKU2048,4,Web,Standard,3,Returned,0.088,7941.2,698.83,7242.37,1592.6
O500155,2025-07-02,C100192,P1020,SKU2057,1,Mobile,Standard,7,Delivered,0.163,2956.54,481.92,2474.62,1816.55
O500156,2024-12-13,C100145,P1012,SKU2092,3,B2B,Standard,2,Delivered,0.124,10065.84,1248.16,8817.68,643.59
O500157,2025-08-27,C100183,P1010,SKU2094,2,Mobile,Standard,3,In-Transit,0.098,4640.22,454.74,4185.48,3303.28
O500158,2024-09-27,C100116,P1011,SKU2095,4,Marketplace,Standard,4,Delivered,0.16,5289.28,846.28,4443.0,3522.36
O500159,2025-02-02,C100387,P1023,SKU2043,2,Web,Standard,3,Delivered,0.088,1576.08,138.7,1437.38,1357.94
O500160,2024-04-25,C100112,P1005,SKU2058,3,Mobile,Standard,4,Delivered,0.009,2365.11,21.29,2343.82,582.54
O500161,2025-03-29,C100179,P1013,SKU2003,5,Web,Standard,3,In-Transit,0.206,11738.2,2418.07,9320.13,9618.25
O500162,2024-07-10,C100297,P1016,SKU2098,1,B2B,Standard,5,In-Transit,0.129,3726.83,480.76,3246.07,2377.14
O500163,2025-05-24,C100518,P1000,SKU2036,3,Web,Standard,2,Delivered,0.172,8568.24,1473.74,7094.5,2041.68
O500164,2025-08-08,C100686,P1015,SKU2056,3,B2B,Standard,7,Delivered,0.144,7500.21,1080.03,6420.18,4294.38
O500165,2025-09-19,C100059,P1006,SKU2081,4,Mobile,Standard,2,Delivered,0.154,13933.96,2145.83,11788.13,1317.4
O500166,2025-11-10,C100504,P1007,SKU2093,3,Mobile,Standard,2,Returned,0.055,1285.8,70.72,1215.08,434.82
O500167,2024-03-30,C100082,P1015,SKU2010,4,Mobile,Standard,2,Delivered,0.234,16621.76,3889.49,12732.27,9306.56
O500168,2024-04-10,C100792,P1000,SKU2092,4,Web,Standard,5,Delivered,0.112,13421.12,1503.17,11917.95,858.12
O500169,2025-11-08,C100221,P1003,SKU2045,4,Web,Standard,4,Delivered,0.23,15198.36,3495.62,11702.74,7890.28
O500170,2024-10-05,C100685,P1011,SKU2050,4,Mobile,Standard,2,Returned,0.202,5410.4,1092.9,4317.5,1865.8
O500171,2024-01-20,C100621,P1014,SKU2015,5,Marketplace,Standard,5,Delivered,0.18,13534.95,2436.29,11098.66,8288.8
O500172,2024-07-28,C100259,P1002,SKU2086,1,Marketplace,Standard,7,Delivered,0.115,1982.36,227.97,1754.39,1158.5
O500173,2025-09-03,C100258,P1009,SKU2057,3,B2B,Standard,3,Delivered,0.006,8869.62,53.22,8816.4,5449.65
O500174,2024-09-16,C100253,P1007,SKU2012,5,Web,Express,1,Delivered,0.079,14174.85,1119.81,13055.04,12429.8
O500175,2024-02-26,C100376,P1013,SKU2016,1,Marketplace,Standard,3,Delivered,0.166,2480.76,411.81,2068.95,133.74
O500176,2025-06-11,C100353,P1007,SKU2086,5,Web,Standard,4,Delivered,0.083,9911.8,822.68,9089.12,5792.5
O500177,2024-05-22,C100525,P1000,SKU2013,1,Mobile,Standard,2,Delivered,0.025,3434.32,85.86,3348.46,1936.72
O500178,2024-09-14,C100371,P1013,SKU2062,4,Web,Standard,1,Delivered,0.129,12300.72,1586.79,10713.93,5220.0
O500179,2024-01-03,C100630,P1021,SKU2083,1,B2B,Express,3,Delivered,0.039,3191.47,124.47,3067.0,2371.36
O500180,2025-03-16,C100373,P1014,SKU2109,4,Mobile,Standard,5,Delivered,0.077,10750.56,827.79,9922.77,3982.04
O500181,2024-11-21,C100245,P1009,SKU2018,5,Mobile,Standard,2,Delivered,0.125,16912.1,2114.01,14798.09,10040.5
O500182,2025-09-25,C100261,P1012,SKU2035,5,Web,Standard,3,Delivered,0.029,19452.6,564.13,18888.47,5367.35
O500183,2024-09-01,C100584,P1003,SKU2018,3,Mobile,Standard,7,Delivered,0.028,10147.26,284.12,9863.14,6024.3
O500184,2024-05-29,C100112,P1005,SKU2105,5,Web,Express,4,Delivered,0.053,16681.8,884.14,15797.66,3886.65
O500185,2024-05-01,C100228,P1010,SKU2071,1,Mobile,Express,4,Delivered,0.148,2070.08,306.37,1763.71,1809.25
O500186,2024-05-26,C100249,P1014,SKU2117,2,Mobile,Standard,3,Delivered,0.233,2554.96,595.31,1959.65,1956.46
O500187,2024-11-25,C100515,P1012,SKU2005,1,Web,Express,7,In-Transit,0.06,4180.33,250.82,3929.51,2243.99
O500188,2024-03-04,C100103,P1024,SKU2084,4,Web,Standard,4,Delivered,0.18,5171.56,930.88,4240.68,3284.24
O500189,2024-10-21,C100360,P1015,SKU2003,5,Web,Standard,2,Delivered,0.047,11738.2,551.7,11186.5,9618.25
O500190,2025-09-16,C100539,P1000,SKU2013,5,Mobile,Standard,1,In-Transit,0.159,17171.6,2730.28,14441.32,9683.6
O500191,2025-07-15,C100741,P1013,SKU2051,3,Web,Express,4,Delivered,0.034,7161.06,243.48,6917.58,6163.98
O500192,2025-04-10,C100350,P1014,SKU2044,1,Web,Standard,3,Delivered,0.211,4702.24,992.17,3710.07,2425.94
O500193,2025-10-14,C100785,P1001,SKU2043,1,Web,Express,2,Cancelled,0.186,788.04,146.58,641.46,678.97
O500194,2025-07-24,C100486,P1009,SKU2008,4,Web,Express,4,In-Transit,0.17,8975.84,1525.89,7449.95,8102.72
O500195,2025-04-22,C100619,P1021,SKU2065,5,Mobile,Standard,5,In-Transit,0.004,3404.0,13.62,3390.38,1703.8
O500196,2025-09-22,C100194,P1008,SKU2040,5,Mobile,Express,3,Delivered,0.209,8592.45,1795.82,6796.63,7180.95
O500197,2024-03-31,C100732,P1011,SKU2119,4,Web,Standard,3,Delivered,0.038,18325.28,696.36,17628.92,9668.8
O500198,2025-08-21,C100207,P1005,SKU2094,5,Mobile,Express,2,Delivered,0.133,11600.55,1542.87,10057.68,8258.2
O500199,2024-08-03,C100109,P1001,SKU2052,3,Mobile,Standard,4,Delivered,0.194,7654.83,1485.04,6169.79,4443.6
O500200,2025-06-19,C100063,P1007,SKU2091,1,Mobile,Standard,1,Delivered,0.158,3461.19,546.87,2914.32,1777.92
O500201,2025-10-29,C100523,P1019,SKU2069,3,B2B,Express,4,Delivered,0.205,3872.97,793.96,3079.01,2526.0
O500202,2024-12-28,C100502,P1024,SKU2059,1,Mobile,Standard,7,Delivered,0.177,2616.8,463.17,2153.63,1514.75
O500203,2024-03-05,C100158,P1016,SKU2110,4,Mobile,Express,3,Delivered,0.189,11064.16,2091.13,8973.03,2130.2
O500204,2024-09-27,C100702,P1020,SKU2070,2,Mobile,Standard,4,Delivered,0.075,7890.48,591.79,7298.69,2979.42
O500205,2024-10-24,C100221,P1016,SKU2057,2,Mobile,Standard,1,Delivered,0.095,5913.08,561.74,5351.34,3633.1
O500206,2025-11-15,C100487,P1016,SKU2067,1,Web,Standard,3,Delivered,0.125,2874.73,359.34,2515.39,2242.09
O500207,2025-11-19,C100418,P1010,SKU2093,5,Web,Standard,3,Delivered,0.147,2143.0,315.02,1827.98,724.7
O500208,2025-02-19,C100473,P1001,SKU2088,3,Marketplace,Express,4,Delivered,0.173,3627.6,627.57,3000.03,1546.83
O500209,2025-11-25,C100593,P1010,SKU2065,4,B2B,Standard,3,In-Transit,0.139,2723.2,378.52,2344.68,1363.04
O500210,2024-11-14,C100741,P1021,SKU2021,3,B2B,Express,4,Delivered,0.178,6780.81,1206.98,5573.83,869.43
