shipment_id,order_id,partner_id,pickup_date,delivery_date,promised_delivery_date,sla_breached,shipment_status
S700171,O500189,P1015,2024-10-21,2024-10-23,2024-10-23,False,Delivered
S700172,O500190,P1000,2025-09-18,2025-09-21,2025-09-17,True,In-Transit
S700173,O500191,P1013,2025-07-16,2025-07-22,2025-07-19,True,Delivered
S700174,O500192,P1014,2025-04-12,2025-04-17,2025-04-13,True,Delivered
S700175,O500193,P1001,2025-10-15,2025-10-16,2025-10-16,False,Cancelled
S700176,O500194,P1009,2025-07-24,2025-07-27,2025-07-28,False,In-Transit
S700177,O500195,P1021,2025-04-24,2025-04-30,2025-04-27,True,In-Transit
S700178,O500196,P1008,2025-09-22,2025-09-25,2025-09-25,False,Delivered
S700179,O500197,P1011,2024-04-02,2024-04-07,2024-04-03,True,Delivered
S700180,O500198,P1005,2025-08-23,2025-08-25,2025-08-23,True,Delivered
S700181,O500199,P1001,2024-08-04,2024-08-07,2024-08-07,False,Delivered
S700182,O500200,P1007,2025-06-19,2025-06-27,2025-06-20,True,Delivered
S700183,O500201,P1019,2025-10-29,2025-11-01,2025-11-02,False,Delivered
S700184,O500202,P1024,2024-12-30,2025-01-04,2025-01-04,False,Delivered
S700185,O500203,P1016,2024-03-06,2024-03-07,2024-03-08,False,Delivered
S700186,O500204,P1020,2024-09-27,2024-10-04,2024-10-01,True,Delivered
S700187,O500205,P1016,2024-10-24,2024-10-30,2024-10-25,True,Delivered
S700188,O500206,P1016,2025-11-15,2025-11-22,2025-11-18,True,Delivered
S700189,O500207,P1010,2025-11-19,2025-11-24,2025-11-22,True,Delivered
S700190,O500208,P1001,2025-02-21,2025-02-24,2025-02-23,True,Delivered
S700191,O500209,P1010,2025-11-27,2025-12-02,2025-11-28,True,In-Transit
S700192,O500210,P1021,2024-11-14,2024-11-16,2024-11-18,False,Delivered
S700193,O500211,P1013,2024-10-27,2024-11-01,2024-10-31,True,Delivered
S700194,O500212,P1019,2025-09-03,2025-09-06,2025-09-05,True,Delivered
S700195,O500213,P1001,2025-05-04,2025-05-06,2025-05-07,False,Cancelled
S700196,O500214,P1005,2025-01-17,2025-01-21,2025-01-20,True,Delivered
S700197,O500215,P1007,2024-11-29,2024-12-02,2024-12-06,False,Delivered
S700198,O500217,P1024,2025-07-04,2025-07-12,2025-07-09,True,Delivered
S700199,O500218,P1011,2024-12-24,2024-12-26,2024-12-25,True,Delivered
S700200,O500219,P1016,2024-01-24,2024-02-02,2024-01-27,True,Delivered
S700201,O500220,P1016,2024-03-16,2024-03-21,2024-03-18,True,Delivered
S700202,O500221,P1010,2024-04-15,2024-04-17,2024-04-20,False,Delivered
S700203,O500222,P1024,2024-12-03,2024-12-08,2024-12-07,True,Delivered
S700204,O500223,P1005,2025-03-24,2025-04-01,2025-03-27,True,Delivered
S700205,O500225,P1018,2024-06-20,2024-06-24,2024-06-20,True,Delivered
S700206,O500226,P1016,2025-07-31,2025-08-07,2025-08-01,True,Delivered
S700207,O500227,P1006,2025-05-03,2025-05-09,2025-05-05,True,Delivered
S700208,O500228,P1021,2024-02-09,2024-02-17,2024-02-10,True,Delivered
S700209,O500229,P1004,2024-09-14,2024-09-20,2024-09-15,True,Delivered
S700210,O500230,P1006,2024-08-10,2024-08-11,2024-08-10,True,Delivered
S700211,O500231,P1003,2025-10-10,2025-10-17,2025-10-17,False,Delivered
S700212,O500232,P1004,2025-11-05,2025-11-09,2025-11-06,True,Delivered
S700213,O500233,P1018,2025-08-23,2025-08-26,2025-08-28,False,Delivered
S700214,O500234,P1017,2025-01-21,2025-01-24,2025-01-21,True,Delivered
S700215,O500235,P1016,2024-12-26,2024-12-29,2024-12-29,False,Delivered
S700216,O500236,P1021,2024-08-16,2024-08-19,2024-08-18,True,Delivered
S700217,O500237,P1001,2025-07-19,2025-07-25,2025-07-21,True,Delivered
S700218,O500238,P1015,2024-03-06,2024-03-08,2024-03-06,True,Delivered
S700219,O500239,P1002,2024-07-18,2024-07-23,2024-07-22,True,Delivered
S700220,O500241,P1015,2024-12-29,2024-12-31,2025-01-01,False,Delivered
S700221,O500242,P1018,2024-08-09,2024-08-16,2024-08-09,True,Delivered
S700222,O500243,P1014,2024-05-24,2024-05-26,2024-05-26,False,Delivered-Returned
S700223,O500244,P1009,2024-10-02,2024-10-05,2024-10-05,False,Delivered
S700224,O500245,P1017,2025-09-23,2025-09-27,2025-09-28,False,Delivered-Returned
S700225,O500247,P1004,2025-08-24,2025-08-27,2025-08-27,False,Delivered
S700226,O500248,P1021,2025-10-30,2025-11-03,2025-11-02,True,Delivered
S700227,O500249,P1018,2025-10-21,2025-10-28,2025-10-26,True,Delivered
S700228,O500250,P1002,2024-09-13,2024-09-17,2024-09-14,True,Delivered-Returned
S700229,O500251,P1023,2025-10-04,2025-10-07,2025-10-06,True,Delivered-Returned
S700230,O500252,P1004,2025-10-26,2025-10-29,2025-10-27,True,Delivered
S700231,O500253,P1015,2025-12-02,2025-12-04,2025-12-09,False,Delivered
S700232,O500254,P1003,2024-09-13,2024-09-15,2024-09-16,False,Delivered
S700233,O500255,P1004,2024-06-16,2024-06-19,2024-06-17,True,Delivered
S700234,O500257,P1016,2025-11-14,2025-11-20,2025-11-17,True,Delivered
S700235,O500258,P1017,2025-10-22,2025-10-27,2025-10-23,True,Delivered
S700236,O500259,P1008,2025-02-22,2025-02-27,2025-02-28,False,In-Transit
S700237,O500260,P1020,2024-04-20,2024-04-22,2024-04-21,True,Delivered
S700238,O500261,P1001,2024-11-05,2024-11-10,2024-11-09,True,Delivered
S700239,O500262,P1021,2025-06-07,2025-06-10,2025-06-11,False,Delivered
S700240,O500263,P1007,2025-02-14,2025-02-22,2025-02-17,True,Delivered
S700241,O500264,P1015,2024-09-11,2024-09-20,2024-09-12,True,Delivered
S700242,O500265,P1022,2024-09-08,2024-09-13,2024-09-10,True,In-Transit
S700243,O500267,P1010,2024-07-31,2024-08-03,2024-08-01,True,Delivered
S700244,O500268,P1020,2025-05-05,2025-05-06,2025-05-06,False,Delivered
S700245,O500269,P1021,2024-06-26,2024-06-30,2024-06-30,False,In-Transit
S700246,O500270,P1005,2025-12-29,2026-01-04,2026-01-01,True,In-Transit
S700247,O500271,P1012,2024-03-02,2024-03-03,2024-03-04,False,Delivered
S700248,O500272,P1008,2025-03-06,2025-03-09,2025-03-07,True,Delivered
S700249,O500273,P1012,2024-12-28,2024-12-31,2024-12-30,True,Delivered
S700250,O500274,P1009,2025-09-02,2025-09-09,2025-09-05,True,Delivered
S700251,O500275,P1000,2025-10-11,2025-10-13,2025-10-14,False,Delivered
S700252,O500276,P1023,2025-02-01,2025-02-06,2025-02-04,True,Delivered
S700253,O500277,P1015,2025-04-06,2025-04-13,2025-04-10,True,Delivered
S700254,O500278,P1011,2025-05-27,2025-06-04,2025-05-28,True,In-Transit
S700255,O500279,P1002,2025-01-16,2025-01-21,2025-01-22,False,Delivered
S700256,O500280,P1001,2024-05-15,2024-05-17,2024-05-19,False,Delivered
S700257,O500281,P1011,2024-11-10,2024-11-17,2024-11-14,True,Delivered
S700258,O500282,P1016,2024-06-25,2024-06-29,2024-06-28,True,Delivered
S700259,O500283,P1006,2024-12-07,2024-12-10,2024-12-12,False,Delivered
S700260,O500284,P1018,2025-03-27,2025-03-29,2025-03-27,True,Delivered
S700261,O500285,P1009,2024-06-03,2024-06-08,2024-06-04,True,Delivered
S700262,O500286,P1000,2024-07-03,2024-07-05,2024-07-04,True,Cancelled
S700263,O500287,P1013,2025-08-25,2025-08-27,2025-08-27,False,Delivered
S700264,O500288,P1004,2024-10-05,2024-10-09,2024-10-08,True,Delivered
S700265,O500289,P1000,2024-05-25,2024-05-31,2024-05-29,True,Delivered
S700266,O500290,P1003,2025-06-07,2025-06-12,2025-06-07,True,Delivered
S700267,O500291,P1007,2025-06-07,2025-06-12,2025-06-14,False,Delivered
S700268,O500292,P1012,2025-08-27,2025-08-30,2025-08-28,True,Delivered
S700269,O500293,P1024,2025-07-10,2025-07-12,2025-07-13,False,Delivered
S700270,O500294,P1005,2025-12-28,2025-12-31,2025-12-30,True,Delivered
S700271,O500295,P1001,2025-02-24,2025-02-27,2025-03-01,False,Delivered
S700272,O500296,P1004,2024-07-30,2024-08-01,2024-08-01,False,Delivered
S700273,O500297,P1007,2025-09-22,2025-09-24,2025-09-25,False,Cancelled
S700274,O500298,P1005,2024-07-12,2024-07-19,2024-07-14,True,Delivered
S700275,O500299,P1008,2024-08-02,2024-08-07,2024-08-03,True,Delivered
S700276,O500300,P1024,2025-08-28,2025-09-01,2025-08-29,True,Delivered
S700277,O500301,P1009,2025-10-06,2025-10-11,2025-10-09,True,Delivered
S700278,O500302,P1015,2024-09-05,2024-09-09,2024-09-07,True,Delivered
S700279,O500303,P1017,2025-06-17,2025-06-21,2025-06-21,False,Delivered
S700280,O500304,P1003,2025-11-05,2025-11-07,2025-11-08,False,Delivered
S700281,O500305,P1006,2025-08-08,2025-08-10,2025-08-11,False,Cancelled
S700282,O500306,P1010,2024-01-06,2024-01-10,2024-01-08,True,Delivered
S700283,O500307,P1011,2025-05-01,2025-05-06,2025-05-03,True,Delivered
S700284,O500309,P1016,2025-09-10,2025-09-13,2025-09-12,True,Delivered
S700285,O500310,P1007,2024-02-21,2024-02-24,2024-02-26,False,Delivered-Returned
S700286,O500311,P1008,2025-12-27,2026-01-02,2025-12-27,True,In-Transit
S700287,O500312,P1015,2024-05-10,2024-05-15,2024-05-12,True,Delivered
S700288,O500313,P1023,2024-11-03,2024-11-10,2024-11-04,True,Delivered
S700289,O500314,P1021,2024-06-21,2024-06-24,2024-06-24,False,Delivered
S700290,O500315,P1024,2025-08-19,2025-08-26,2025-08-20,True,Delivered
S700291,O500316,P1010,2024-10-15,2024-10-20,2024-10-15,True,Delivered
S700292,O500317,P1002,2025-06-28,2025-07-01,2025-07-02,False,In-Transit
S700293,O500318,P1005,2024-02-19,2024-02-23,2024-02-26,False,Delivered
S700294,O500319,P1008,2024-11-27,2024-11-30,2024-11-29,True,Cancelled
S700295,O500320,P1007,2025-10-29,2025-11-06,2025-10-29,True,Delivered-Returned
S700296,O500321,P1005,2025-11-10,2025-11-12,2025-11-11,True,Delivered
S700297,O500322,P1003,2024-06-03,2024-06-07,2024-06-05,True,Delivered
S700298,O500323,P1004,2024-10-17,2024-10-21,2024-10-18,True,Delivered
S700299,O500324,P1016,2024-10-26,2024-10-29,2024-10-31,False,Cancelled
S700300,O500325,P1012,2025-02-18,2025-02-23,2025-02-20,True,Delivered
S700301,O500326,P1000,2025-01-29,2025-02-02,2025-01-28,True,Delivered
S700302,O500327,P1014,2024-03-19,2024-03-23,2024-03-20,True,In-Transit
S700303,O500328,P1021,2025-07-11,2025-07-13,2025-07-14,False,Delivered
S700304,O500329,P1010,2024-06-15,2024-06-16,2024-06-18,False,Delivered
S700305,O500330,P1007,2024-08-20,2024-08-23,2024-08-22,True,Delivered
S700306,O500331,P1006,2025-09-08,2025-09-10,2025-09-10,False,Delivered
S700307,O500332,P1009,2025-05-21,2025-05-23,2025-05-20,True,Delivered
S700308,O500333,P1006,2024-10-17,2024-10-19,2024-10-19,False,Delivered
S700309,O500334,P1023,2025-10-30,2025-11-05,2025-11-02,True,Delivered-Returned
S700310,O500335,P1024,2024-10-17,2024-10-21,2024-10-19,True,Delivered
S700311,O500336,P1008,2025-02-19,2025-02-21,2025-02-21,False,Delivered
S700312,O500337,P1023,2024-06-29,2024-07-04,2024-07-01,True,Delivered
S700313,O500338,P1021,2024-05-15,2024-05-18,2024-05-14,True,Delivered
S700314,O500339,P1001,2024-12-26,2024-12-30,2024-12-28,True,Delivered
S700315,O500340,P1012,2025-02-16,2025-02-21,2025-02-18,True,Delivered-Returned
S700316,O500341,P1016,2025-08-13,2025-08-19,2025-08-15,True,Delivered
S700317,O500342,P1010,2024-10-12,2024-10-14,2024-10-16,False,In-Transit
S700318,O500343,P1011,2025-10-18,2025-10-22,2025-10-19,True,Cancelled
S700319,O500344,P1012,2025-03-20,2025-03-23,2025-03-22,True,Cancelled
S700320,O500345,P1017,2024-02-21,2024-02-27,2024-02-24,True,Delivered
S700321,O500347,P1014,2025-02-26,2025-02-27,2025-02-27,False,Delivered
S700322,O500348,P1006,2024-10-12,2024-10-18,2024-10-15,True,Delivered
S700323,O500349,P1022,2024-12-08,2024-12-09,2024-12-09,False,In-Transit
S700324,O500350,P1002,2024-08-09,2024-08-16,2024-08-12,True,Delivered
S700325,O500351,P1001,2025-03-27,2025-04-03,2025-03-26,True,Delivered
S700326,O500352,P1000,2025-02-19,2025-02-25,2025-02-23,True,Delivered
S700327,O500353,P1008,2024-11-23,2024-11-27,2024-11-23,True,Delivered
S700328,O500354,P1015,2024-07-27,2024-08-02,2024-08-01,True,Delivered
S700329,O500355,P1024,2024-10-18,2024-10-23,2024-10-21,True,Delivered
S700330,O500356,P1011,2024-12-29,2025-01-01,2025-01-02,False,Delivered
S700331,O500357,P1004,2024-12-12,2024-12-16,2024-12-12,True,Delivered
S700332,O500358,P1009,2024-08-15,2024-08-19,2024-08-17,True,Delivered
S700333,O500359,P1003,2025-03-02,2025-03-04,2025-03-06,False,Delivered
S700334,O500360,P1011,2024-06-16,2024-06-18,2024-06-16,True,Delivered
S700335,O500361,P1018,2025-01-01,2025-01-03,2025-01-02,True,Delivered
S700336,O500362,P1000,2024-03-31,2024-04-05,2024-04-03,True,Delivered
S700337,O500363,P1019,2024-12-11,2024-12-17,2024-12-15,True,Delivered
S700338,O500364,P1005,2025-07-29,2025-08-06,2025-07-29,True,Cancelled
S700339,O500365,P1016,2025-08-20,2025-08-25,2025-08-23,True,Delivered
S700340,O500366,P1020,2025-05-23,2025-05-25,2025-05-25,False,Delivered
S700341,O500367,P1019,2025-07-01,2025-07-05,2025-06-30,True,Delivered
S700342,O500368,P1016,2024-02-18,2024-02-25,2024-02-21,True,Delivered
S700343,O500369,P1017,2024-09-06,2024-09-13,2024-09-08,True,Cancelled
