invoice_id,order_id,customer_id,partner_id,invoice_date,due_date,invoice_amount,invoice_status
INV900077,O500126,C100351,P1011,2024-07-10,2024-08-11,11127.61,Open
INV900078,O500127,C100116,P1007,2024-12-11,2025-01-03,20274.54,Overdue
INV900079,O500128,C100532,P1022,2025-10-07,2025-10-27,5028.45,Paid
INV900080,O500131,C100413,P1007,2025-04-01,2025-04-23,11852.84,Overdue
INV900081,O500134,C100554,P1023,2024-04-02,2024-05-14,16048.01,Paid
INV900082,O500135,C100798,P1021,2025-07-04,2025-08-07,6592.48,Disputed
INV900083,O500140,C100068,P1011,2024-08-27,2024-10-07,1630.91,Overdue
INV900084,O500143,C100532,P1022,2024-02-08,2024-02-23,4352.78,Open
INV900085,O500147,C100215,P1017,2025-04-26,2025-05-23,4048.11,Overdue
INV900086,O500149,C100787,P1019,2026-01-05,2026-02-13,6712.3,Paid
INV900087,O500152,C100470,P1018,2025-05-05,2025-05-30,5084.59,Open
INV900088,O500156,C100145,P1012,2024-12-15,2025-01-28,9875.8,Disputed
INV900089,O500158,C100116,P1011,2024-10-07,2024-11-15,5242.74,Paid
INV900090,O500159,C100387,P1023,2025-02-02,2025-03-18,1609.87,Paid
INV900091,O500163,C100518,P1000,2025-05-29,2025-07-08,7945.84,Overdue
INV900092,O500164,C100686,P1015,2025-08-18,2025-09-26,7190.6,Paid
INV900093,O500165,C100059,P1006,2025-09-25,2025-11-06,13202.71,Open
INV900094,O500166,C100504,P1007,2025-11-10,2025-12-22,1433.79,Open
INV900095,O500167,C100082,P1015,2024-04-06,2024-04-24,15024.08,Open
INV900096,O500168,C100792,P1000,2024-04-18,2024-05-16,14063.18,Paid
INV900097,O500170,C100685,P1011,2024-10-13,2024-11-17,4835.6,Overdue
INV900098,O500171,C100621,P1014,2024-01-29,2024-03-06,12430.5,Open
INV900099,O500172,C100259,P1002,2024-07-29,2024-08-22,1964.92,Open
INV900100,O500173,C100258,P1009,2025-09-06,2025-10-21,9874.37,Paid
INV900101,O500174,C100253,P1007,2024-09-18,2024-10-11,14621.64,Paid
INV900102,O500175,C100376,P1013,2024-02-28,2024-03-28,2317.22,Open
INV900103,O500176,C100353,P1007,2025-06-14,2025-07-05,10725.16,Open
INV900104,O500177,C100525,P1000,2024-05-22,2024-06-17,3750.28,Open
INV900105,O500178,C100371,P1013,2024-09-16,2024-10-25,12642.44,Overdue
INV900106,O500180,C100373,P1014,2025-03-24,2025-05-08,11708.87,Open
INV900107,O500181,C100245,P1009,2024-11-26,2024-12-25,17461.75,Paid
INV900108,O500183,C100584,P1003,2024-09-06,2024-09-29,11638.51,Paid
INV900109,O500184,C100112,P1005,2024-06-08,2024-07-01,17693.38,Open
INV900110,O500185,C100228,P1010,2024-05-03,2024-05-30,2081.18,Open
INV900111,O500188,C100103,P1024,2024-03-06,2024-03-28,4452.71,Open
INV900112,O500189,C100360,P1015,2024-10-31,2024-12-12,11745.83,Open
INV900113,O500191,C100741,P1013,2025-07-22,2025-08-08,7263.46,Paid
INV900114,O500198,C100207,P1005,2025-08-25,2025-10-07,11868.06,Paid
INV900115,O500200,C100063,P1007,2025-06-28,2025-07-23,3264.04,Open
INV900116,O500202,C100502,P1024,2024-12-30,2025-01-28,2541.28,Open
INV900117,O500204,C100702,P1020,2024-09-29,2024-10-28,8612.45,Open
INV900118,O500205,C100221,P1016,2024-10-27,2024-11-24,6314.58,Open
INV900119,O500207,C100418,P1010,2025-11-28,2026-01-09,2157.02,Open
INV900120,O500208,C100473,P1001,2025-02-24,2025-04-01,3150.03,Open
INV900121,O500211,C100577,P1013,2024-10-30,2024-11-14,9252.51,Open
INV900122,O500212,C100725,P1019,2025-09-09,2025-10-24,7613.5,Open
INV900123,O500214,C100287,P1005,2025-01-20,2025-02-17,2847.61,Overdue
INV900124,O500215,C100447,P1007,2024-12-09,2025-01-15,11477.86,Paid
INV900125,O500216,C100158,P1008,2025-05-30,2025-06-28,11746.96,Open
INV900126,O500217,C100741,P1024,2025-07-08,2025-07-23,3549.27,Overdue
INV900127,O500218,C100773,P1011,2024-12-27,2025-01-11,18580.42,Paid
INV900128,O500219,C100710,P1016,2024-01-31,2024-03-02,2409.13,Paid
INV900129,O500222,C100635,P1024,2024-12-04,2024-12-23,5464.96,Overdue
INV900130,O500224,C100211,P1000,2025-08-15,2025-09-04,5158.45,Paid
INV900131,O500225,C100425,P1018,2024-06-27,2024-07-13,15682.11,Open
INV900132,O500227,C100588,P1006,2025-05-10,2025-06-08,6662.2,Paid
INV900133,O500229,C100780,P1004,2024-09-20,2024-11-03,3354.57,Open
INV900134,O500231,C100009,P1003,2025-10-19,2025-11-05,4288.0,Open
INV900135,O500233,C100261,P1018,2025-08-28,2025-09-27,10157.41,Paid
INV900136,O500236,C100782,P1021,2024-08-15,2024-09-25,8356.16,Open
INV900137,O500237,C100230,P1001,2025-07-28,2025-09-08,1238.82,Overdue
INV900138,O500241,C100036,P1015,2024-12-27,2025-01-11,1709.3,Open
INV900139,O500242,C100265,P1018,2024-08-15,2024-09-14,3323.97,Open
INV900140,O500244,C100489,P1009,2024-10-04,2024-10-25,8759.23,Paid
INV900141,O500246,C100438,P1020,2025-02-19,2025-03-20,6769.92,Open
INV900142,O500247,C100325,P1004,2025-08-25,2025-09-10,14865.76,Paid
INV900143,O500251,C100488,P1023,2025-10-04,2025-10-28,5859.09,Paid
INV900144,O500253,C100418,P1015,2025-12-05,2026-01-18,10840.19,Paid
INV900145,O500254,C100048,P1003,2024-09-15,2024-10-17,8829.41,Paid
INV900146,O500255,C100785,P1004,2024-06-25,2024-08-04,12310.28,Overdue
INV900147,O500256,C100259,P1016,2025-03-05,2025-04-11,11567.41,Overdue
INV900148,O500258,C100718,P1017,2025-10-28,2025-12-12,3683.03,Open
INV900149,O500259,C100788,P1008,2025-03-03,2025-03-25,8162.65,Disputed
INV900150,O500260,C100093,P1020,2024-04-20,2024-05-20,13140.02,Overdue
INV900151,O500263,C100609,P1007,2025-02-17,2025-04-03,2246.83,Paid
INV900152,O500264,C100667,P1015,2024-09-19,2024-10-11,2246.32,Disputed
INV900153,O500265,C100441,P1022,2024-09-17,2024-10-06,5667.13,Open
INV900154,O500267,C100570,P1010,2024-08-06,2024-08-29,2965.12,Open
INV900155,O500268,C100534,P1020,2025-05-08,2025-06-20,13587.9,Open
INV900156,O500271,C100169,P1012,2024-03-02,2024-04-04,1803.46,Paid
INV900157,O500274,C100671,P1009,2025-09-08,2025-10-21,3332.72,Paid
INV900158,O500278,C100730,P1011,2025-06-04,2025-06-19,14174.71,Open
INV900159,O500279,C100130,P1002,2025-01-15,2025-02-28,4449.28,Paid
INV900160,O500281,C100516,P1011,2024-11-15,2024-12-26,5762.01,Open
INV900161,O500282,C100754,P1016,2024-07-01,2024-08-12,2549.67,Paid
INV900162,O500283,C100590,P1006,2024-12-15,2025-01-16,9243.94,Paid
INV900163,O500285,C100446,P1009,2024-06-03,2024-07-11,13367.45,Paid
INV900164,O500287,C100253,P1013,2025-09-03,2025-10-08,12867.81,Paid
INV900165,O500288,C100346,P1004,2024-10-12,2024-11-17,870.27,Paid
INV900166,O500290,C100689,P1003,2025-06-08,2025-07-17,10186.41,Overdue
INV900167,O500291,C100513,P1007,2025-06-08,2025-07-19,7638.93,Open
INV900168,O500292,C100084,P1012,2025-09-05,2025-10-04,12573.75,Open
INV900169,O500293,C100576,P1024,2025-07-16,2025-08-26,16419.45,Open
INV900170,O500295,C100521,P1001,2025-03-02,2025-04-07,2328.4,Open
INV900171,O500296,C100346,P1004,2024-08-07,2024-08-27,14533.81,Paid
INV900172,O500299,C100116,P1008,2024-08-02,2024-09-02,11046.74,Open
INV900173,O500300,C100175,P1024,2025-09-01,2025-10-05,1331.99,Overdue
INV900174,O500301,C100738,P1009,2025-10-16,2025-11-06,8637.37,Overdue
INV900175,O500302,C100060,P1015,2024-09-12,2024-10-01,2538.18,Paid
INV900176,O500303,C100228,P1017,2025-06-17,2025-07-24,867.33,Open
INV900177,O500304,C100273,P1003,2025-11-11,2025-12-06,1494.39,Open
INV900178,O500306,C100287,P1010,2024-01-13,2024-02-14,2751.25,Open
INV900179,O500307,C100714,P1011,2025-05-09,2025-06-10,8737.96,Paid
INV900180,O500308,C100790,P1000,2024-05-04,2024-06-09,4208.91,Open
INV900181,O500310,C100274,P1007,2024-02-27,2024-04-06,2675.97,Overdue
INV900182,O500315,C100348,P1024,2025-08-23,2025-10-01,15979.22,Paid
INV900183,O500316,C100676,P1010,2024-10-17,2024-12-01,3317.44,Open
INV900184,O500318,C100688,P1005,2024-02-25,2024-03-13,13927.88,Open
INV900185,O500321,C100089,P1005,2025-11-12,2025-12-14,2578.72,Paid
INV900186,O500322,C100699,P1003,2024-06-01,2024-07-13,5614.37,Paid
INV900187,O500323,C100794,P1004,2024-10-25,2024-11-12,2371.95,Open
INV900188,O500328,C100653,P1021,2025-07-11,2025-08-22,3449.79,Open
INV900189,O500331,C100516,P1006,2025-09-14,2025-10-28,4138.32,Paid
INV900190,O500332,C100289,P1009,2025-05-24,2025-06-10,17970.17,Overdue
INV900191,O500334,C100532,P1023,2025-10-31,2025-11-21,13890.78,Overdue
INV900192,O500337,C100409,P1023,2024-07-01,2024-07-25,16940.95,Open
INV900193,O500338,C100123,P1021,2024-05-22,2024-06-07,15266.48,Overdue
INV900194,O500339,C100012,P1001,2025-01-04,2025-02-14,5803.26,Disputed
INV900195,O500340,C100516,P1012,2025-02-19,2025-04-04,9235.16,Open
INV900196,O500341,C100386,P1016,2025-08-19,2025-09-26,6265.44,Open
INV900197,O500345,C100661,P1017,2024-03-02,2024-03-18,9182.19,Open
INV900198,O500348,C100011,P1006,2024-10-13,2024-11-19,4100.96,Paid
INV900199,O500351,C100367,P1001,2025-04-01,2025-04-16,9854.75,Open
INV900200,O500352,C100516,P1000,2025-02-21,2025-03-15,21902.07,Paid
INV900201,O500354,C100317,P1015,2024-07-30,2024-08-28,6866.74,Open
INV900202,O500356,C100253,P1011,2025-01-06,2025-02-12,18481.89,Paid
INV900203,O500359,C100762,P1003,2025-03-04,2025-04-04,8852.68,Open
INV900204,O500360,C100248,P1011,2024-06-24,2024-08-05,4408.39,Paid
INV900205,O500361,C100070,P1018,2025-01-02,2025-01-24,4723.67,Paid
INV900206,O500362,C100694,P1000,2024-04-02,2024-04-22,2090.65,Disputed
INV900207,O500365,C100576,P1016,2025-08-25,2025-09-19,13596.72,Overdue
INV900208,O500366,C100784,P1020,2025-05-24,2025-07-08,19771.64,Paid
INV900209,O500367,C100102,P1019,2025-07-03,2025-08-17,2032.33,Overdue
INV900210,O500371,C100691,P1003,2025-08-15,2025-09-27,20460.41,Disputed
INV900211,O500372,C100243,P1009,2025-03-05,2025-03-29,2484.81,Open
INV900212,O500375,C100748,P1019,2024-04-23,2024-06-07,2972.15,Paid
INV900213,O500376,C100374,P1007,2024-03-07,2024-04-12,5874.51,Open
INV900214,O500378,C100397,P1011,2025-05-08,2025-06-02,10412.36,Open
INV900215,O500379,C100315,P1006,2024-07-27,2024-08-29,5083.91,Overdue
INV900216,O500380,C100300,P1018,2025-07-26,2025-08-17,17464.09,Open
INV900217,O500383,C100180,P1019,2024-06-29,2024-07-17,10155.43,Open
INV900218,O500385,C100466,P1006,2025-05-15,2025-06-11,6401.73,Paid
INV900219,O500386,C100083,P1004,2024-05-06,2024-05-30,9390.82,Open
INV900220,O500387,C100612,P1000,2024-07-05,2024-08-13,4076.5,Paid
INV900221,O500388,C100129,P1002,2024-12-24,2025-01-20,11289.27,Overdue
INV900222,O500389,C100697,P1020,2025-01-12,2025-02-04,11223.8,Open
INV900223,O500390,C100363,P1019,2024-05-03,2024-06-06,9098.69,Disputed
INV900224,O500393,C100067,P1008,2024-10-11,2024-11-16,8047.56,Open
INV900225,O500396,C100241,P1016,2024-06-21,2024-08-02,1851.47,Open
INV900226,O500397,C100163,P1000,2025-12-30,2026-02-13,18304.61,Overdue
INV900227,O500398,C100691,P1002,2025-01-01,2025-02-03,11454.86,Open
INV900228,O500399,C100623,P1019,2025-10-02,2025-11-03,15639.71,Open
INV900229,O500400,C100238,P1014,2024-05-18,2024-06-16,2082.28,Overdue
INV900230,O500401,C100560,P1012,2024-05-07,2024-05-22,3783.75,Open
INV900231,O500402,C100192,P1005,2025-08-12,2025-09-20,410.42,Paid
INV900232,O500405,C100666,P1008,2024-01-26,2024-02-17,8075.04,Open
INV900233,O500407,C100369,P1004,2024-10-19,2024-11-03,5777.76,Paid
INV900234,O500410,C100544,P1010,2025-09-17,2025-11-01,2745.23,Paid
INV900235,O500414,C100409,P1012,2024-01-25,2024-03-04,7051.01,Disputed
INV900236,O500415,C100470,P1005,2024-10-17,2024-11-23,2737.8,Paid
INV900237,O500416,C100074,P1017,2025-06-24,2025-07-27,2696.16,Open
INV900238,O500417,C100013,P1008,2025-08-16,2025-09-01,3868.16,Open
INV900239,O500418,C100485,P1008,2025-02-17,2025-03-29,6556.64,Open
INV900240,O500420,C100491,P1003,2024-01-18,2024-02-22,3731.01,Open
INV900241,O500424,C100360,P1014,2024-08-15,2024-09-24,6959.73,Paid
INV900242,O500425,C100275,P1000,2024-06-18,2024-07-21,9912.27,Paid
INV900243,O500427,C100424,P1000,2024-05-09,2024-05-24,7366.1,Paid
INV900244,O500429,C100551,P1008,2025-04-15,2025-05-11,14008.68,Open
INV900245,O500430,C100792,P1015,2025-08-08,2025-09-19,7968.76,Open
INV900246,O500431,C100143,P1017,2025-12-20,2026-01-23,2792.17,Open
INV900247,O500432,C100697,P1011,2024-02-25,2024-04-06,860.27,Open
INV900248,O500433,C100481,P1003,2024-07-07,2024-08-20,6958.86,Open
INV900249,O500434,C100247,P1009,2024-08-11,2024-09-16,11529.08,Paid
INV900250,O500438,C100139,P1009,2024-01-23,2024-02-20,694.85,Paid
INV900251,O500439,C100527,P1000,2025-09-21,2025-10-16,1233.52,Open
INV900252,O500440,C100583,P1017,2025-12-13,2026-01-20,7073.56,Open
INV900253,O500441,C100036,P1000,2024-06-23,2024-07-10,4554.74,Open
INV900254,O500442,C100502,P1009,2024-09-05,2024-09-22,983.84,Paid
INV900255,O500443,C100424,P1004,2025-01-10,2025-02-05,9839.15,Open
INV900256,O500444,C100775,P1014,2025-01-26,2025-02-26,1219.51,Open
INV900257,O500445,C100593,P1001,2026-01-04,2026-01-26,2901.11,Open
INV900258,O500446,C100727,P1002,2024-10-27,2024-12-04,3580.12,Open
INV900259,O500448,C100611,P1024,2024-11-07,2024-12-08,11422.64,Paid
INV900260,O500449,C100266,P1000,2025-02-20,2025-03-21,17641.33,Overdue
INV900261,O500450,C100442,P1011,2025-01-19,2025-02-18,1736.53,Open
INV900262,O500451,C100702,P1020,2025-01-12,2025-02-11,15254.02,Open
INV900263,O500452,C100695,P1007,2025-11-13,2025-12-16,2555.17,Paid
INV900264,O500453,C100180,P1012,2025-08-13,2025-09-09,3724.66,Open
INV900265,O500457,C100489,P1018,2024-11-03,2024-11-22,2200.77,Paid
INV900266,O500461,C100593,P1023,2025-07-03,2025-08-04,6465.52,Overdue
INV900267,O500462,C100717,P1021,2025-09-10,2025-10-08,5884.28,Paid
INV900268,O500463,C100425,P1024,2025-08-03,2025-09-01,7722.46,Open
INV900269,O500464,C100342,P1016,2024-08-18,2024-09-09,8920.15,Paid
INV900270,O500466,C100625,P1002,2024-04-27,2024-05-25,3135.99,Open
INV900271,O500467,C100759,P1003,2024-10-17,2024-11-12,14462.97,Open
INV900272,O500468,C100036,P1023,2025-01-14,2025-02-04,6885.0,Paid
INV900273,O500469,C100393,P1009,2025-10-16,2025-11-08,6691.36,Paid
INV900274,O500470,C100284,P1002,2025-10-28,2025-12-01,10223.8,Paid
INV900275,O500472,C100610,P1000,2025-06-04,2025-06-30,3016.27,Disputed
INV900276,O500473,C100174,P1013,2024-08-06,2024-08-29,10693.58,Open
INV900277,O500475,C100109,P1009,2025-02-17,2025-03-17,4765.81,Open
INV900278,O500477,C100593,P1012,2024-09-04,2024-09-21,16562.63,Open
INV900279,O500478,C100129,P1023,2025-02-10,2025-03-21,13578.6,Paid
INV900280,O500479,C100539,P1019,2024-07-24,2024-08-28,13035.06,Open
INV900281,O500481,C100219,P1006,2024-12-08,2025-01-04,8096.21,Paid
INV900282,O500482,C100069,P1018,2025-08-14,2025-09-10,4384.46,Paid
INV900283,O500483,C100597,P1013,2024-05-21,2024-06-09,15606.04,Open
INV900284,O500488,C100452,P1019,2024-03-10,2024-04-02,15124.08,Open
INV900285,O500489,C100629,P1015,2025-02-24,2025-04-09,3173.22,Paid
INV900286,O500491,C100493,P1000,2024-03-11,2024-04-07,2143.35,Paid
INV900287,O500492,C100116,P1018,2024-08-09,2024-09-15,5844.79,Open
INV900288,O500493,C100405,P1016,2025-09-19,2025-10-12,12771.88,Paid
INV900289,O500494,C100680,P1016,2025-01-25,2025-02-23,7129.81,Overdue
INV900290,O500495,C100618,P1004,2024-05-12,2024-05-27,2470.74,Paid
INV900291,O500497,C100435,P1018,2025-07-21,2025-09-01,8268.01,Open
INV900292,O500498,C100495,P1021,2025-09-27,2025-11-09,16441.38,Open
INV900293,O500502,C100602,P1017,2024-05-17,2024-06-06,8187.44,Disputed
INV900294,O500503,C100286,P1017,2024-06-05,2024-07-08,12046.66,Paid
INV900295,O500506,C100340,P1000,2025-07-26,2025-08-23,3442.53,Open
INV900296,O500507,C100765,P1019,2024-12-30,2025-01-18,3114.43,Open
INV900297,O500509,C100716,P1013,2024-01-28,2024-03-10,3079.49,Open
INV900298,O500510,C100486,P1012,2025-11-25,2025-12-20,8886.56,Open
INV900299,O500511,C100152,P1018,2024-06-15,2024-07-21,9333.07,Paid
INV900300,O500512,C100114,P1011,2024-02-04,2024-03-07,12597.18,Open
INV900301,O500516,C100524,P1005,2024-03-25,2024-04-10,6002.84,Paid
INV900302,O500517,C100703,P1020,2024-03-06,2024-03-21,6668.66,Open
INV900303,O500518,C100267,P1008,2025-02-19,2025-03-22,10294.65,Paid
INV900304,O500519,C100741,P1003,2025-10-08,2025-11-09,1912.65,Open
INV900305,O500520,C100409,P1021,2024-10-28,2024-11-12,8782.97,Open
INV900306,O500523,C100220,P1006,2025-10-01,2025-11-01,4096.17,Paid
INV900307,O500524,C100744,P1012,2025-01-14,2025-01-29,2258.24,Open
INV900308,O500525,C100709,P1004,2025-05-26,2025-06-27,13209.8,Open
INV900309,O500526,C100456,P1003,2025-01-21,2025-03-07,7421.37,Open
INV900310,O500528,C100047,P1005,2025-02-25,2025-03-13,7435.5,Paid
INV900311,O500530,C100718,P1022,2024-11-22,2025-01-04,8257.36,Overdue
INV900312,O500531,C100302,P1014,2025-04-23,2025-05-15,10097.02,Open
INV900313,O500534,C100107,P1020,2025-03-26,2025-04-25,8097.94,Paid
INV900314,O500536,C100291,P1003,2025-03-05,2025-04-14,2084.21,Paid
INV900315,O500539,C100163,P1009,2024-02-24,2024-03-25,4029.29,Open
INV900316,O500540,C100724,P1018,2025-03-14,2025-04-23,8088.56,Overdue
INV900317,O500542,C100625,P1002,2025-01-12,2025-02-21,12732.75,Open
INV900318,O500543,C100060,P1019,2024-11-28,2024-12-25,13783.32,Paid
INV900319,O500546,C100586,P1002,2024-02-19,2024-03-12,5321.04,Paid
INV900320,O500547,C100153,P1014,2025-09-06,2025-10-19,9168.57,Open
INV900321,O500548,C100614,P1015,2025-08-20,2025-10-02,1074.76,Open
INV900322,O500549,C100255,P1001,2025-12-28,2026-01-27,17430.08,Paid
INV900323,O500550,C100565,P1023,2024-07-31,2024-09-09,8729.26,Paid
INV900324,O500551,C100221,P1002,2024-05-08,2024-05-31,8049.77,Disputed
INV900325,O500552,C100745,P1006,2024-08-09,2024-09-17,12748.29,Paid
INV900326,O500553,C100566,P1024,2025-08-17,2025-09-25,7705.72,Open
INV900327,O500554,C100361,P1013,2024-06-11,2024-07-19,13732.49,Paid
INV900328,O500557,C100239,P1018,2024-02-14,2024-03-07,7759.33,Open
INV900329,O500558,C100631,P1002,2024-06-10,2024-06-29,1302.47,Paid
INV900330,O500559,C100665,P1016,2025-07-14,2025-07-29,9727.83,Paid
INV900331,O500563,C100613,P1011,2025-04-28,2025-05-22,9055.4,Disputed
INV900332,O500565,C100198,P1019,2025-01-12,2025-02-04,464.2,Open
INV900333,O500566,C100225,P1007,2024-03-19,2024-04-12,9181.22,Overdue
INV900334,O500567,C100734,P1021,2024-07-13,2024-08-09,6360.02,Open
INV900335,O500570,C100672,P1007,2024-12-22,2025-01-08,12854.68,Open
INV900336,O500572,C100675,P1010,2025-08-08,2025-09-09,19461.78,Overdue
INV900337,O500574,C100550,P1014,2024-03-13,2024-04-03,15240.8,Overdue
INV900338,O500575,C100461,P1023,2025-04-15,2025-05-14,16136.78,Paid
INV900339,O500576,C100587,P1003,2024-06-18,2024-07-26,15784.27,Paid
INV900340,O500577,C100652,P1006,2024-09-16,2024-10-26,9959.48,Open
INV900341,O500578,C100406,P1011,2024-08-21,2024-09-27,10726.21,Paid
INV900342,O500579,C100089,P1018,2024-06-15,2024-07-20,5445.71,Open
INV900343,O500580,C100074,P1003,2025-07-15,2025-08-21,13400.79,Paid
INV900344,O500581,C100332,P1005,2025-05-26,2025-06-25,2863.94,Paid
INV900345,O500583,C100690,P1015,2025-05-20,2025-06-15,3484.34,Paid
INV900346,O500585,C100710,P1016,2025-01-31,2025-03-06,3937.33,Overdue
INV900347,O500592,C100107,P1005,2025-06-12,2025-07-08,2529.02,Open
INV900348,O500594,C100453,P1004,2024-12-06,2024-12-21,3601.21,Paid
INV900349,O500595,C100710,P1008,2025-06-28,2025-08-07,781.23,Open
