payment_id,invoice_id,payment_date,payment_amount,payment_mode
PAY0000074,INV900092,2025-08-30,4883.62,UPI
PAY0000075,INV900092,2025-09-03,2288.32,Card
PAY0000076,INV900096,2024-04-28,13756.21,UPI
PAY0000077,INV900096,2024-04-22,246.21,NEFT
PAY0000078,INV900100,2025-09-07,5613.29,Card
PAY0000079,INV900100,2025-09-07,2723.55,Wire
PAY0000080,INV900100,2025-09-12,1546.59,NEFT
PAY0000081,INV900101,2024-10-08,2864.05,NEFT
PAY0000082,INV900101,2024-09-25,11734.18,NEFT
PAY0000083,INV900107,2024-12-10,8897.7,NEFT
PAY0000084,INV900107,2024-12-04,3375.05,UPI
PAY0000085,INV900107,2024-12-05,5186.33,Wire
PAY0000086,INV900108,2024-09-20,1878.85,UPI
PAY0000087,INV900108,2024-09-09,5621.78,Wire
PAY0000088,INV900108,2024-09-08,4086.76,UPI
PAY0000089,INV900113,2025-08-04,6122.55,UPI
PAY0000090,INV900113,2025-08-01,689.57,UPI
PAY0000091,INV900114,2025-08-26,4958.3,Card
PAY0000092,INV900114,2025-09-08,6909.14,Wire
PAY0000093,INV900124,2024-12-19,3173.23,UPI
PAY0000094,INV900124,2024-12-12,8344.16,UPI
PAY0000095,INV900127,2025-01-04,18524.66,UPI
PAY0000096,INV900128,2024-02-13,24.75,Card
PAY0000097,INV900128,2024-02-20,1828.75,NEFT
PAY0000098,INV900128,2024-02-08,543.81,NEFT
PAY0000099,INV900130,2025-08-25,5172.9,UPI
PAY0000100,INV900132,2025-05-28,1917.64,UPI
PAY0000101,INV900132,2025-05-29,2033.9,NEFT
PAY0000102,INV900132,2025-05-20,2738.66,UPI
PAY0000103,INV900135,2025-09-13,2213.97,UPI
PAY0000104,INV900135,2025-09-05,7152.96,UPI
PAY0000105,INV900135,2025-09-09,785.52,UPI
PAY0000106,INV900140,2024-10-06,3583.28,Wire
PAY0000107,INV900140,2024-10-05,5191.84,Wire
PAY0000108,INV900142,2025-09-07,14800.83,Card
PAY0000109,INV900143,2025-10-20,2592.69,Wire
PAY0000110,INV900143,2025-10-18,1261.67,UPI
PAY0000111,INV900143,2025-10-19,1997.99,UPI
PAY0000112,INV900144,2025-12-21,10830.88,Card
PAY0000113,INV900145,2024-09-30,8285.79,NEFT
PAY0000114,INV900151,2025-02-18,842.22,NEFT
PAY0000115,INV900151,2025-02-27,654.0,Wire
PAY0000116,INV900151,2025-03-01,744.56,NEFT
PAY0000117,INV900156,2024-03-10,467.23,Wire
PAY0000118,INV900156,2024-03-18,1339.16,UPI
PAY0000119,INV900157,2025-09-15,2135.77,UPI
PAY0000120,INV900157,2025-09-19,467.26,Card
PAY0000121,INV900157,2025-09-27,722.92,Card
PAY0000122,INV900159,2025-01-23,3227.54,UPI
PAY0000123,INV900159,2025-01-26,1214.54,NEFT
PAY0000124,INV900161,2024-07-14,1092.54,Wire
PAY0000125,INV900161,2024-07-13,529.51,NEFT
PAY0000126,INV900161,2024-07-05,928.48,UPI
PAY0000127,INV900162,2024-12-22,5562.76,UPI
PAY0000128,INV900162,2024-12-23,3649.19,UPI
PAY0000129,INV900163,2024-06-13,5369.06,NEFT
PAY0000130,INV900163,2024-06-03,70.94,NEFT
PAY0000131,INV900163,2024-06-19,7866.85,NEFT
PAY0000132,INV900164,2025-09-19,8482.06,Wire
PAY0000133,INV900164,2025-09-08,3028.17,NEFT
PAY0000134,INV900164,2025-09-09,1300.16,Wire
PAY0000135,INV900165,2024-10-20,403.09,Card
PAY0000136,INV900165,2024-10-28,296.07,Wire
PAY0000137,INV900165,2024-10-22,173.15,UPI
PAY0000138,INV900171,2024-08-26,7951.41,UPI
PAY0000139,INV900171,2024-08-26,6619.74,Wire
PAY0000140,INV900175,2024-09-19,319.47,Wire
PAY0000141,INV900175,2024-10-02,389.16,UPI
PAY0000142,INV900175,2024-09-20,1840.36,Card
PAY0000143,INV900179,2025-05-11,120.88,UPI
PAY0000144,INV900179,2025-05-16,1104.32,UPI
PAY0000145,INV900179,2025-05-16,7522.36,NEFT
PAY0000146,INV900182,2025-08-28,15937.93,UPI
PAY0000147,INV900185,2025-11-20,569.0,NEFT
PAY0000148,INV900185,2025-11-21,1998.65,UPI
PAY0000149,INV900186,2024-06-12,5364.62,NEFT
PAY0000150,INV900189,2025-09-24,754.58,UPI
PAY0000151,INV900189,2025-10-01,2150.37,NEFT
PAY0000152,INV900189,2025-10-03,1222.58,Wire
PAY0000153,INV900198,2024-10-25,138.02,Wire
PAY0000154,INV900198,2024-10-27,3972.3,UPI
PAY0000155,INV900200,2025-03-12,6064.19,Wire
PAY0000156,INV900200,2025-03-11,15856.25,Wire
PAY0000157,INV900202,2025-01-10,12233.02,Wire
PAY0000158,INV900202,2025-01-16,808.53,UPI
PAY0000159,INV900202,2025-01-23,3607.69,Card
PAY0000160,INV900204,2024-06-26,4387.23,Wire
PAY0000161,INV900205,2025-01-03,4530.46,NEFT
PAY0000162,INV900205,2025-01-04,207.29,UPI
PAY0000163,INV900208,2025-06-06,3238.15,Card
PAY0000164,INV900208,2025-06-11,16495.37,NEFT
PAY0000165,INV900212,2024-04-28,738.67,Card
PAY0000166,INV900212,2024-04-27,1960.8,UPI
PAY0000167,INV900218,2025-05-19,4517.13,NEFT
PAY0000168,INV900218,2025-05-20,1860.02,NEFT
PAY0000169,INV900220,2024-07-25,4074.75,UPI
PAY0000170,INV900231,2025-08-21,78.62,UPI
PAY0000171,INV900231,2025-08-22,329.76,UPI
PAY0000172,INV900233,2024-11-02,5150.69,NEFT
PAY0000173,INV900233,2024-11-01,633.4,Wire
PAY0000174,INV900234,2025-09-18,1815.33,NEFT
PAY0000175,INV900234,2025-09-20,942.95,UPI
PAY0000176,INV900236,2024-10-19,2592.55,Card
PAY0000177,INV900236,2024-11-05,138.76,UPI
PAY0000178,INV900241,2024-08-28,5208.78,Wire
PAY0000179,INV900241,2024-08-27,1718.78,Wire
PAY0000180,INV900242,2024-07-01,9934.23,Card
PAY0000181,INV900243,2024-05-11,4904.36,Wire
PAY0000182,INV900243,2024-05-17,2434.45,Card
PAY0000183,INV900249,2024-08-26,11505.82,Card
PAY0000184,INV900250,2024-02-08,90.7,Card
PAY0000185,INV900250,2024-01-24,460.45,NEFT
PAY0000186,INV900250,2024-01-27,146.29,UPI
PAY0000187,INV900254,2024-09-22,351.57,Wire
PAY0000188,INV900254,2024-09-23,322.9,Card
PAY0000189,INV900254,2024-09-22,248.02,Wire
PAY0000190,INV900259,2024-11-11,4439.95,Card
PAY0000191,INV900259,2024-11-25,6970.55,NEFT
PAY0000192,INV900263,2025-11-29,2543.38,Wire
PAY0000193,INV900265,2024-11-16,2203.74,UPI
PAY0000194,INV900267,2025-09-26,1569.15,Wire
PAY0000195,INV900267,2025-09-11,2261.52,UPI
PAY0000196,INV900267,2025-09-26,2077.03,Card
PAY0000197,INV900269,2024-08-27,58.39,Card
PAY0000198,INV900269,2024-08-22,2716.02,UPI
PAY0000199,INV900269,2024-08-23,6186.03,UPI
PAY0000200,INV900272,2025-01-23,2439.86,Wire
PAY0000201,INV900272,2025-02-01,2724.05,UPI
PAY0000202,INV900272,2025-01-28,1698.23,NEFT
PAY0000203,INV900273,2025-10-30,3042.33,Wire
PAY0000204,INV900273,2025-10-17,3635.61,NEFT
PAY0000205,INV900274,2025-10-28,10204.74,Card
PAY0000206,INV900279,2025-02-10,6143.66,UPI
PAY0000207,INV900279,2025-02-14,7476.64,UPI
PAY0000208,INV900281,2024-12-22,1097.75,NEFT
PAY0000209,INV900281,2024-12-23,4628.18,UPI
PAY0000210,INV900281,2024-12-10,2373.04,Card
PAY0000211,INV900282,2025-08-14,3494.26,UPI
PAY0000212,INV900282,2025-08-18,895.39,NEFT
PAY0000213,INV900285,2025-03-11,469.84,NEFT
PAY0000214,INV900285,2025-03-01,1023.18,Card
PAY0000215,INV900285,2025-03-08,1668.86,UPI
PAY0000216,INV900286,2024-03-17,2148.28,UPI
PAY0000217,INV900288,2025-10-07,6523.36,Card
PAY0000218,INV900288,2025-10-02,6207.03,UPI
PAY0000219,INV900290,2024-05-17,92.61,Wire
PAY0000220,INV900290,2024-05-19,2373.32,UPI
PAY0000221,INV900294,2024-06-21,2519.44,Wire
PAY0000222,INV900294,2024-06-12,9501.8,NEFT
PAY0000223,INV900299,2024-07-01,4235.67,Card
PAY0000224,INV900299,2024-06-23,5094.61,Card
PAY0000225,INV900301,2024-04-06,2968.12,NEFT
PAY0000226,INV900301,2024-04-03,3022.85,Wire
PAY0000227,INV900303,2025-03-03,8266.02,NEFT
PAY0000228,INV900303,2025-03-09,1948.79,Wire
PAY0000229,INV900303,2025-02-22,125.71,UPI
PAY0000230,INV900306,2025-10-11,4113.1,NEFT
PAY0000231,INV900310,2025-03-06,5671.46,Wire
PAY0000232,INV900310,2025-03-15,1732.85,Wire
PAY0000233,INV900313,2025-03-29,8113.6,NEFT
PAY0000234,INV900314,2025-03-05,1704.54,NEFT
PAY0000235,INV900314,2025-03-11,369.3,UPI
PAY0000236,INV900318,2024-12-12,13730.39,Card
PAY0000237,INV900319,2024-02-20,825.96,Card
PAY0000238,INV900319,2024-02-29,3098.46,UPI
PAY0000239,INV900319,2024-03-02,1400.76,Wire
PAY0000240,INV900322,2026-01-15,3572.63,Card
PAY0000241,INV900322,2026-01-02,10057.59,UPI
PAY0000242,INV900322,2026-01-05,3852.19,UPI
PAY0000243,INV900323,2024-07-31,7074.92,NEFT
PAY0000244,INV900323,2024-08-04,1655.97,Wire
PAY0000245,INV900325,2024-08-16,505.2,UPI
PAY0000246,INV900325,2024-08-25,5273.23,Card
PAY0000247,INV900325,2024-08-10,6911.49,Wire
PAY0000248,INV900327,2024-06-23,2423.38,NEFT
PAY0000249,INV900327,2024-06-20,2779.98,UPI
PAY0000250,INV900327,2024-06-26,8483.51,Wire
PAY0000251,INV900329,2024-06-10,464.49,NEFT
PAY0000252,INV900329,2024-06-24,541.63,Card
PAY0000253,INV900329,2024-06-30,297.16,NEFT
PAY0000254,INV900330,2025-07-25,1428.64,NEFT
PAY0000255,INV900330,2025-07-31,8313.13,Card
PAY0000256,INV900338,2025-04-24,2817.55,NEFT
PAY0000257,INV900338,2025-04-18,13362.35,Card
PAY0000258,INV900339,2024-07-02,15749.36,Card
PAY0000259,INV900341,2024-09-02,3998.0,NEFT
PAY0000260,INV900341,2024-09-10,4381.12,Wire
PAY0000261,INV900341,2024-08-30,2344.31,NEFT
PAY0000262,INV900343,2025-08-02,3690.98,Card
PAY0000263,INV900343,2025-07-15,5178.81,UPI
PAY0000264,INV900343,2025-07-27,4471.36,Wire
PAY0000265,INV900344,2025-06-11,2825.11,NEFT
PAY0000266,INV900344,2025-05-31,33.61,Card
PAY0000267,INV900345,2025-05-23,1548.21,Wire
PAY0000268,INV900345,2025-05-22,1943.04,UPI
PAY0000269,INV900348,2024-12-16,3585.81,Wire
PAY0000270,INV900350,2025-08-18,430.14,UPI
PAY0000271,INV900350,2025-09-02,3478.53,UPI
PAY0000272,INV900350,2025-08-19,1680.67,NEFT
PAY0000273,INV900356,2025-05-27,38.29,Wire
PAY0000274,INV900356,2025-06-01,2879.58,Wire
PAY0000275,INV900356,2025-05-30,1353.95,NEFT
PAY0000276,INV900357,2025-07-27,1034.38,Card
PAY0000277,INV900359,2024-01-30,5169.59,Card
PAY0000278,INV900361,2024-02-28,848.68,NEFT
PAY0000279,INV900361,2024-02-23,263.94,Card
PAY0000280,INV900362,2024-12-04,6748.59,UPI
PAY0000281,INV900362,2024-12-17,7472.91,NEFT
PAY0000282,INV900364,2024-07-18,1301.41,Wire
PAY0000283,INV900364,2024-07-07,1879.65,Card
PAY0000284,INV900372,2024-06-15,1247.36,Card
PAY0000285,INV900372,2024-06-05,810.55,Wire
PAY0000286,INV900372,2024-06-08,817.97,Wire
PAY0000287,INV900376,2025-02-04,885.79,Card
PAY0000288,INV900376,2025-01-23,826.8,NEFT
PAY0000289,INV900376,2025-02-03,475.7,Wire
PAY0000290,INV900377,2024-08-08,2447.44,NEFT
PAY0000291,INV900379,2024-07-23,810.87,NEFT
PAY0000292,INV900379,2024-07-12,2318.3,Card
PAY0000293,INV900379,2024-07-20,263.85,NEFT
PAY0000294,INV900380,2024-12-05,924.94,Card
PAY0000295,INV900380,2024-12-07,5152.15,Card
PAY0000296,INV900380,2024-12-08,1066.92,NEFT
PAY0000297,INV900381,2024-04-13,5368.55,Wire
PAY0000298,INV900395,2025-07-01,4347.68,Wire
PAY0000299,INV900395,2025-07-13,685.2,Wire
PAY0000300,INV900400,2025-09-25,23.48,NEFT
PAY0000301,INV900400,2025-09-23,1111.11,Card
PAY0000302,INV900400,2025-09-08,1631.23,UPI
PAY0000303,INV900404,2025-05-12,687.33,Wire
PAY0000304,INV900404,2025-04-29,2261.35,Card
PAY0000305,INV900405,2024-08-02,746.2,NEFT
PAY0000306,INV900405,2024-08-03,3163.85,UPI
PAY0000307,INV900414,2025-07-24,2098.31,Card
PAY0000308,INV900414,2025-08-02,6488.85,Wire
PAY0000309,INV900414,2025-07-18,3749.65,UPI
PAY0000310,INV900415,2024-06-07,3808.58,NEFT
PAY0000311,INV900415,2024-06-16,1220.22,NEFT
PAY0000312,INV900416,2024-10-21,1194.66,NEFT
PAY0000313,INV900416,2024-10-11,3432.2,NEFT
PAY0000314,INV900416,2024-10-23,693.42,NEFT
PAY0000315,INV900417,2025-04-04,4334.06,Wire
PAY0000316,INV900417,2025-04-02,1032.59,UPI
PAY0000317,INV900422,2025-07-25,3689.78,NEFT
PAY0000318,INV900422,2025-08-04,1310.53,NEFT
PAY0000319,INV900422,2025-07-28,1849.43,Wire
PAY0000320,INV900430,2024-07-31,6891.55,UPI
PAY0000321,INV900430,2024-07-28,3053.9,Card
PAY0000322,INV900430,2024-08-04,55.32,UPI
PAY0000323,INV900431,2025-12-15,8975.05,Wire
PAY0000324,INV900432,2025-05-11,5114.69,UPI
PAY0000325,INV900432,2025-05-07,1780.39,Card
PAY0000326,INV900436,2024-11-13,2109.38,Card
PAY0000327,INV900436,2024-11-12,698.41,Card
PAY0000328,INV900436,2024-11-11,3023.44,UPI
PAY0000329,INV900437,2025-01-28,6753.59,Card
PAY0000330,INV900437,2025-02-02,3062.18,Card
PAY0000331,INV900439,2024-04-11,3723.7,NEFT
PAY0000332,INV900439,2024-04-04,4802.94,Wire
PAY0000333,INV900439,2024-04-02,601.51,Wire
PAY0000334,INV900441,2024-11-21,8541.73,NEFT
PAY0000335,INV900441,2024-11-01,1708.53,UPI
PAY0000336,INV900442,2025-09-18,2924.78,Wire
PAY0000337,INV900442,2025-09-10,2014.66,Card
PAY0000338,INV900442,2025-09-07,1145.73,Wire
PAY0000339,INV900448,2025-07-17,487.51,NEFT
PAY0000340,INV900448,2025-07-17,1923.28,Wire
PAY0000341,INV900448,2025-07-08,2054.39,NEFT
PAY0000342,INV900449,2025-04-22,1746.78,Wire
PAY0000343,INV900450,2024-12-09,6135.69,Card
PAY0000344,INV900451,2024-01-26,4622.88,NEFT
PAY0000345,INV900452,2024-11-17,2658.63,Card
PAY0000346,INV900452,2024-11-17,29.86,NEFT
PAY0000347,INV900456,2025-10-20,3436.42,UPI
PAY0000348,INV900458,2024-07-29,8067.88,Card
PAY0000349,INV900461,2025-02-03,4257.08,Card
PAY0000350,INV900465,2024-09-01,5390.56,UPI
PAY0000351,INV900468,2024-09-05,10360.22,NEFT
PAY0000352,INV900471,2024-10-28,1313.5,NEFT
PAY0000353,INV900478,2024-11-05,1005.53,Card
PAY0000354,INV900478,2024-10-29,917.59,NEFT
PAY0000355,INV900478,2024-11-12,2791.3,Wire
PAY0000356,INV900480,2025-04-10,1950.11,Card
PAY0000357,INV900480,2025-04-15,241.84,UPI
PAY0000358,INV900480,2025-04-10,13163.9,Wire
PAY0000359,INV900481,2024-10-13,1318.11,Wire
PAY0000360,INV900481,2024-10-17,3051.48,Card
PAY0000361,INV900481,2024-10-14,2612.53,NEFT
PAY0000362,INV900483,2026-01-03,259.58,Card
PAY0000363,INV900483,2026-01-08,2467.51,NEFT
PAY0000364,INV900489,2024-11-08,4151.52,UPI
PAY0000365,INV900496,2024-09-15,5961.19,NEFT
PAY0000366,INV900496,2024-09-12,2809.38,NEFT
PAY0000367,INV900496,2024-09-15,5854.98,UPI
PAY0000368,INV900498,2024-07-11,3206.1,UPI
PAY0000369,INV900499,2024-07-23,2147.72,UPI
PAY0000370,INV900499,2024-07-15,175.11,UPI
PAY0000371,INV900499,2024-07-25,4204.77,UPI
PAY0000372,INV900500,2025-10-11,1646.85,NEFT
PAY0000373,INV900500,2025-10-13,5077.87,NEFT
PAY0000374,INV900502,2024-02-17,3053.66,Wire
PAY0000375,INV900502,2024-02-03,1278.4,NEFT
PAY0000376,INV900507,2025-10-18,1546.69,UPI
PAY0000377,INV900507,2025-10-06,206.07,NEFT
PAY0000378,INV900507,2025-10-10,1337.14,Card
PAY0000379,INV900509,2024-04-05,3150.05,UPI
PAY0000380,INV900509,2024-04-19,1554.14,Card
PAY0000381,INV900509,2024-04-13,9572.95,Wire
PAY0000382,INV900511,2025-04-12,2447.77,Card
PAY0000383,INV900511,2025-04-04,5428.64,NEFT
PAY0000384,INV900511,2025-04-13,570.65,Wire
PAY0000385,INV900514,2024-07-22,180.89,UPI
PAY0000386,INV900514,2024-07-21,4082.49,NEFT
PAY0000387,INV900514,2024-07-28,1766.71,UPI
PAY0000388,INV900518,2025-04-04,3171.73,UPI
PAY0000389,INV900518,2025-03-29,829.31,UPI
PAY0000390,INV900521,2025-10-17,1237.14,NEFT
PAY0000391,INV900522,2025-11-19,559.04,UPI
PAY0000392,INV900522,2025-11-13,5113.48,Card
PAY0000393,INV900523,2025-08-16,6311.23,UPI
PAY0000394,INV900528,2024-02-01,12836.45,Card
PAY0000395,INV900532,2024-06-17,503.02,UPI
PAY0000396,INV900532,2024-06-24,2274.89,UPI
PAY0000397,INV900532,2024-06-23,4165.32,UPI
PAY0000398,INV900535,2024-05-18,6970.31,UPI
PAY0000399,INV900535,2024-05-15,3657.81,NEFT
PAY0000400,INV900538,2025-02-27,1337.11,Wire
PAY0000401,INV900538,2025-02-18,3033.12,UPI
PAY0000402,INV900538,2025-02-23,5121.97,NEFT
PAY0000403,INV900539,2025-08-17,1446.26,Wire
PAY0000404,INV900539,2025-08-26,3369.34,NEFT
PAY0000405,INV900541,2025-12-14,5230.3,UPI
PAY0000406,INV900541,2025-12-05,1045.04,UPI
PAY0000407,INV900544,2024-05-05,4811.04,Card
PAY0000408,INV900544,2024-04-29,3866.22,NEFT
PAY0000409,INV900545,2025-11-28,232.56,UPI
PAY0000410,INV900545,2025-11-22,1124.19,NEFT
PAY0000411,INV900545,2025-11-13,782.84,UPI
PAY0000412,INV900546,2025-08-12,5492.19,Card
PAY0000413,INV900546,2025-08-12,3104.71,NEFT
PAY0000414,INV900546,2025-08-28,3445.92,Wire
PAY0000415,INV900547,2024-06-02,547.43,Wire
PAY0000416,INV900547,2024-05-29,662.93,Wire
PAY0000417,INV900547,2024-06-15,909.44,Wire
PAY0000418,INV900549,2024-05-12,16141.89,Wire
PAY0000419,INV900551,2025-11-10,18049.06,UPI
PAY0000420,INV900553,2025-07-18,12199.79,NEFT
PAY0000421,INV900553,2025-07-10,3645.49,Card
PAY0000422,INV900556,2024-06-07,6799.27,Wire
PAY0000423,INV900558,2024-12-21,7694.95,Card
PAY0000424,INV900560,2024-07-26,6321.32,NEFT
PAY0000425,INV900563,2025-11-27,16094.23,Wire
PAY0000426,INV900567,2025-06-03,5645.11,UPI
PAY0000427,INV900571,2024-08-16,677.3,NEFT
PAY0000428,INV900571,2024-08-03,3625.29,UPI
PAY0000429,INV900571,2024-08-15,1115.8,UPI
PAY0000430,INV900573,2025-04-03,4614.66,NEFT
PAY0000431,INV900573,2025-03-27,5636.95,Wire
PAY0000432,INV900573,2025-04-13,2445.17,Card
PAY0000433,INV900581,2025-11-26,10814.64,NEFT
PAY0000434,INV900590,2024-04-23,8579.85,Card
PAY0000435,INV900590,2024-04-26,1076.38,Wire
PAY0000436,INV900592,2025-10-09,5943.94,Wire
PAY0000437,INV900592,2025-10-14,5801.61,NEFT
PAY0000438,INV900595,2025-04-16,5121.45,UPI
PAY0000439,INV900595,2025-04-19,9324.87,Card
PAY0000440,INV900597,2025-01-03,2374.82,Card
PAY0000441,INV900597,2024-12-28,4682.61,UPI
PAY0000442,INV900597,2024-12-24,271.9,UPI
PAY0000443,INV900598,2024-07-30,1162.6,Card
PAY0000444,INV900598,2024-08-11,394.6,Wire
PAY0000445,INV900598,2024-08-06,1798.62,Wire
PAY0000446,INV900603,2025-05-13,8710.86,UPI
PAY0000447,INV900608,2025-07-18,5048.62,Card
PAY0000448,INV900612,2024-12-10,4057.89,UPI
PAY0000449,INV900612,2024-12-13,3367.82,Card
PAY0000450,INV900612,2024-12-16,3451.1,Wire
PAY0000451,INV900613,2025-01-26,224.07,Wire
PAY0000452,INV900613,2025-02-04,462.23,UPI
PAY0000453,INV900614,2025-10-26,13982.07,Wire
PAY0000454,INV900618,2024-09-19,2667.99,NEFT
PAY0000455,INV900618,2024-09-11,2203.97,UPI
PAY0000456,INV900618,2024-09-07,2086.06,Card
PAY0000457,INV900623,2024-04-19,1068.97,UPI
PAY0000458,INV900623,2024-04-10,3908.2,Wire
PAY0000459,INV900630,2024-12-28,12406.6,Wire
PAY0000460,INV900638,2025-04-23,7297.81,UPI
PAY0000461,INV900639,2025-11-10,1284.23,Wire
PAY0000462,INV900639,2025-11-18,2112.12,NEFT
PAY0000463,INV900639,2025-11-26,4376.45,UPI
PAY0000464,INV900640,2024-05-21,5666.32,NEFT
PAY0000465,INV900640,2024-05-31,1139.65,UPI
PAY0000466,INV900644,2024-10-26,3129.32,Card
PAY0000467,INV900646,2025-11-17,4821.91,Card
PAY0000468,INV900652,2025-12-01,17378.92,NEFT
PAY0000469,INV900653,2024-06-09,156.49,Card
PAY0000470,INV900653,2024-06-27,2340.89,Wire
PAY0000471,INV900659,2025-09-25,50.85,NEFT
PAY0000472,INV900659,2025-10-12,256.31,Wire
PAY0000473,INV900659,2025-10-06,423.61,NEFT
PAY0000474,INV900660,2025-09-20,8939.02,UPI
PAY0000475,INV900663,2025-09-02,66.38,NEFT
PAY0000476,INV900663,2025-08-30,3022.97,Card
PAY0000477,INV900663,2025-09-03,317.47,Wire
PAY0000478,INV900664,2024-04-23,7186.31,Card
PAY0000479,INV900665,2024-07-24,1473.56,Wire
PAY0000480,INV900668,2024-10-16,836.54,Wire
PAY0000481,INV900668,2024-10-18,2090.95,Wire
PAY0000482,INV900670,2024-11-10,16421.64,UPI
PAY0000483,INV900676,2025-09-02,2891.26,NEFT
PAY0000484,INV900676,2025-08-25,4999.91,Wire
PAY0000485,INV900676,2025-08-31,567.45,Wire
PAY0000486,INV900677,2025-02-18,12572.66,NEFT
PAY0000487,INV900677,2025-02-10,613.96,NEFT
PAY0000488,INV900681,2025-05-05,543.35,Card
PAY0000489,INV900681,2025-05-16,1610.73,Wire
PAY0000490,INV900681,2025-05-03,4113.97,UPI
PAY0000491,INV900686,2025-03-30,4477.22,Wire
PAY0000492,INV900689,2024-07-06,2645.63,Card
PAY0000493,INV900691,2024-07-15,8906.2,UPI
PAY0000494,INV900691,2024-07-06,4994.77,UPI
PAY0000495,INV900692,2025-07-31,980.75,Wire
PAY0000496,INV900692,2025-08-14,43.87,NEFT
PAY0000497,INV900692,2025-08-03,1719.45,UPI
PAY0000498,INV900694,2024-08-23,8373.52,NEFT
PAY0000499,INV900694,2024-09-03,382.35,NEFT
PAY0000500,INV900694,2024-08-29,860.54,Card
PAY0000501,INV900695,2025-12-03,12671.42,Card
